,question,answer
368,difference carrying amount financial liability amount entity would,10a disclosure difference financial liability carrying amount amount entity would contractually required pay maturity holder obligation
369,difference carrying amount financial liability amount entity would,10 disclosureincrease fair value financial liability attributable change credit risk liability disclosure monetaryduration credit difference financial liability carrying amount amount entity would contractually required pay maturity holder obligation
370,purpose disclosure,8 ifrs9 disclosure must include detailed description economic relationship described  b5
371,answer referifrs9 basis conclusion  bc,referifrs9 basis conclusion  bc5
372,purpose disclosure,dividend recognised investment equity instrument designated fair value comprehensive income derecognised period disclosure monetaryduration creditdividends recognised investment equity instrument designated fair value comprehensive income held end reporting period disclosure monetaryduration credit transfer cumulative gain loss within equity period including reason transfer
373,reason disposing investment equity instrument designated fair value comprehensive,description reason disposing investment equity instrument designated fair value comprehensive income disclosure text fair value investment date derecognition
374,effect change business model financial statement,description effect changing business model managing financial asset financial statement disclosure textexplanation change business model managing financial asset disclosure text amount reclassified category
375,effective interest rate determined date reclassification,1 ifrs9 effective interest rate determined date reclassification effective interest rate determined date reclassification asset reclassified fair value profit loss category amortised cost fair value comprehensive income category disclosure percent interest revenue recognised
376,definition fair value gain loss,since last annual reporting date entity reclassified financial asset fair value comprehensive income category measured amortised cost fair value profit loss category measured amortised cost fair value comprehensive income disclose fair value financial asset end reporting period fair value financial asset reclassified fair value comprehensive income category amortised cost category disclosure monetaryinstant debitfair value financial asset reclassified fair value profit loss category amortised cost fair value comprehensive income category disclosure monetaryinstant debit fair value gain loss would recognised profit loss comprehensive income reporting period financial asset reclassified
377,disclosure requirement recognised financial instrument,disclosure  13b13e supplement disclosure requirement ifrs required recognised financial instrument set accordance paragraphof ias32
378,effect right setoff entity financial position,includes effect potential effect right setoff associated entity recognised financial asset recognised financial liability within scope  13a
379,amount money set financial asset,ig40d exampleamounts subject enforceable master netting arrangement similar agreement set financial asset disclosure monetaryinstant creditamounts subject enforceable master netting arrangement similar agreement set financial liability disclosure monetaryinstant debit net amount deducting amount amount
380,much disclosed accordance  13c instrument,total amount disclosed accordance  13c instrument limited amount  13c instrument
381,definition right setoff associated financial asset subject enforceable,entity include description disclosure right setoff associated entity recognised financial asset recognised financial liability subject enforceable master netting arrangement similar agreement disclosed accordance  13c including nature right
382,purpose  13b,information required  13b13e disclosed one note financial statement entity crossrefer note
383,ifrs9 definition financial asset pledged collateral,entity disclose carrying amount financial asset pledged collateral liability contingent liability including amount reclassified accordance  3
384,definition collateral,entity hold collateral permitted sell repledge collateral absence default owner collateral disclose fair value collateral held collateral held permitted sold repledged absence default owner collateral fair value disclosure monetaryinstant debit fair value collateral sold repledged whether entity obligation return collateral sold repledged absence default owner collateral fair value disclosure monetaryinstant debitexplanation whether entity obligation return collateral sold repledged absence default owner collateral disclosure text term condition associated use collateral
385,carrying amount financial asset measured fair value comprehensive income accordance,carrying amount financial asset measured fair value comprehensive income accordance  4
386,true,entity issued instrument contains liability equity component instrument multiple embedded derivative whose value interdependent disclose existence feature
387,definition loan,loan payable recognised end reporting period entity disclose detail default period principal interest sinking fund redemption term loan payable description detail default period principal interest sinking fund redemption term loan payable disclosure text carrying amount loan payable default end reporting period loan payable default disclosure monetaryinstant credit whether default remedied term loan payable renegotiated financial statement authorised issue
388,purpose ,period breach loan agreement term described paragraphan entity disclose information required paragraphif breach permitted lender demand accelerated repayment
389,definition held trading,1 ifrs9 financial asset financial liability mandatorily measured fair value profit loss accordance ifrs9
390,purpose disclosure,disclosure include reason derecognising financial asset
391,purpose paragraphof ias1 presentation financial statement,information measurement basis financial instrument used preparing financial statement expected material accounting policy information
392,ifrs9 basis conclusion,disclosure general hedge accounting disclosure text blockreferifrs9 basis conclusion  bce
393,scope disclosure requirement hedge accounting,entity apply disclosure requirement  21b24f risk exposure entity hedge elect apply hedge accounting
394,definition crossreference information already presented financial statement,however entity need duplicate information already presented elsewhere provided information incorporated crossreference financial statement statement management commentary risk report available user financial statement term financial statement time
395,definition risk category,entity determine risk category consistently hedge accounting disclosure
396,purpose  21a,meet objective  21a entity determine much detail disclose much emphasis place different aspect disclosure requirement appropriate level aggregation disaggregation whether user financial statement need additional explanation evaluate quantitative information disclosed
397,definition risk management strategy,entity manages risk includes whether entity hedge item entirety risk hedge risk component item
398,hedging instrument used ass hedge effectiveness,meet requirement  22a information include description hedging instrument referifrs9  6
399,information required entity designates specific risk component hedged,7 ifrs9 provide addition disclosure required  22a 22b qualitative quantitative information entity determined risk component designated hedged item information entity determined risk component designated hedged item disclosure text block risk component relates item entirety
400,purpose disclosure,unless exempted  23c entity disclose risk category quantitative information allow user financial statement evaluate term condition hedging instrument affect amount timing uncertainty future cash flow entity
401,hedging instrument maturity date,meet requirement  23a entity provide breakdown discloses profile timing nominal amount hedging instrument maturity disclosure ias1
402,hedging relationship,24 ifrs9 entity exempt providing disclosure required  23a 23b
403,definition hedge ineffectiveness,entity disclose risk category description source hedge ineffectiveness expected affect hedging relationship term
404,hedging relationship,source hedge ineffectiveness emerge hedging relationship entity disclose source risk category explain resulting hedge ineffectiveness
405,definition forecast transaction hedge accounting used previous,cash flow hedge entity disclose description forecast transaction hedge accounting used previous period longer expected occur
406,amount hedging instrument,entity disclose tabular format following amount related item designated hedging instrument separately risk category type hedge carrying amount hedging instrument hedging instrument asset disclosure monetaryinstant debithedging instrument liability disclosure monetaryinstant credit line item statement financial position includes hedging instrument description line item statement financial position includes hedging instrument disclosure text change fair value hedging instrument used basis recognising hedge ineffectiveness period gain change fair value hedging instrument used basis recognising hedge ineffectiveness disclosure monetaryduration credit nominal amount hedging instrument
407,amount hedged item ceased adjusted hedging,24b b disclosure accumulated amount fair value hedge adjustment remaining statement financial position hedged item ceased adjusted hedging gain loss accordance  6
408,difference hedging gain loss hedged item,entity disclose tabular format following amount separately risk category type hedge follows fair value hedge hedge ineffectivenessie difference hedging gain loss hedging instrument hedged itemrecognised profit loss comprehensive income hedge equity instrument entity elected present change fair value comprehensive income accordance  5
409,reason volume hedging relationship exemption,volume hedging relationship exemption  23c applies unrepresentative normal volume period entity disclose fact reason belief volume unrepresentative
410,definition reconciliation equity comprehensive income,entity provide reconciliation component equity analysis comprehensive income accordance ias1 taken together differentiates minimum amount relate disclosure  24c well amount accounted accordance  6
411,purpose disclosure,entity disclose information required  24e separately risk category
412,definition financial instrument,entity designated financial instrument proportion measured fair value profit loss us credit derivative manage credit risk financial instrument disclose credit derivative used manage credit risk financial instrument designated measured fair value profit loss accordance  6
413,extent risk exposure entity manages directly affected interest rate,12 ifrs9  102d102n ias39 entity disclose significant interest rate benchmark entity hedging relationship exposed disclosure significant interest rate benchmark entity hedging relationship exposed disclosure text block extent risk exposure entity manages directly affected interest rate benchmark reform disclosure extent risk exposure entity manages hedging relationship directly affected interest rate benchmark reform disclosure text block entity managing process transition alternative benchmark rate description entity managing process transition alternative benchmark rate hedging relationship disclosure text description significant assumption judgement entity made applying  description significant assumption judgement entity made applying amendment interest rate benchmark reform disclosure text nominal amount hedging instrument referifrs9  6
414,effect interest rate benchmark reform entity financial instrument risk management,enable user financial statement understand effect interest rate benchmark reform entity financial instrument risk management strategy entity disclose information nature extent risk entity exposed arising financial instrument subject interest rate benchmark reform entity manages risk entity progress completing transition alternative benchmark rate entity managing transition
415,purpose disclosure,description change entity risk management strategy arising entity exposure financial instrument subject interest rate benchmark reform disclosure text blockdisclosure information effect interest rate benchmark reform entity financial instrument risk management strategy disclosure text block ifrs7
416,definition ifrs7,35i disclosure ifrs7
417,definition fair value,disclosing fair value entity group financial asset financial liability class offset extent carrying amount offset statement financial position
418,accounting policy recognising profit loss difference fair,case entity disclose class financial asset financial liability accounting policy recognising profit loss difference fair value initial recognition transaction price reflect change factor market participant would take account pricing asset liability see  b5
419,definition disclosure fair value,disclosure fair value required carrying amount reasonable approximation fair value example financial instrument shortterm trade receivables payable lease liability
420,purpose disclosure,entity disclose information enables user financial statement evaluate nature extent risk arising financial instrument entity exposed end reporting period
421,risk arise financial instrument,risk typically include limited credit risk liquidity risk market risk
422,purpose providing qualitative disclosure context quantitative disclosure,providing qualitative disclosure context quantitative disclosure enables user link related disclosure hence form overall picture nature extent risk arising financial instrument
423,definition risk,type risk arising financial instrument entity disclose exposure risk arise description exposure risk disclosure text objective policy process managing risk method used measure risk description objective policy process managing risk disclosure textmethods used measure risk disclosure text change previous period
424,definition ifrs7,description concentration risk disclosure textdisclosure nature extent risk arising financial instrument disclosure ifrs7
425,purpose statement,quantitative data disclosed end reporting period unrepresentative entity exposure risk period entity provide information representative
426,disclosure credit risk,disclosure credit risk disclosure text block ias1
427,definition disclosure requirement,entity apply disclosure requirement  35f35n financial instrument impairment requirement ifrs9 applied
428,purpose  35f35n,achieve objective credit risk disclosure provide information entity credit risk management practice relate recognition measurement expected credit loss including method assumption information used measure expected credit loss quantitative qualitative information allows user financial statement evaluate amount financial statement arising expected credit loss including change amount expected credit loss reason change information entity credit risk exposure including significant credit risk concentration
429,definition crossreference disclosure credit risk,entity need duplicate information already presented elsewhere provided information incorporated crossreference financial statement statement management commentary risk report available user financial statement term financial statement time
430,purpose  35b,meet objective  35b entity consider much detail disclose much emphasis place different aspect disclosure requirement appropriate level aggregation disaggregation whether user financial statement need additional explanation evaluate quantitative information disclosed
431,required meet objective  35b,disclosure provided accordance  35f35n insufficient meet objective  35b entity disclose additional information necessary meet objective
432,purpose text,entity explain credit risk management practice relate recognition measurement expected credit loss
433,purpose text,description basis input assumption estimation technique used determine whether financial asset creditimpaired financial asset disclosure text forwardlooking information incorporated determination expected credit loss including use macroeconomic information description forwardlooking information incorporated determination expected credit loss disclosure text change estimation technique significant assumption made reporting period reason change
434,definition ifrs735m,35i disclosuretype measurement expected credit loss disclosure ifrs7
435,example change loss allowance may included financial statement,example change gross carrying amount financial instrument contributed change loss allowance may include change financial instrument originated acquired reporting period increase origination purchase exposure credit risk loan commitment financial guarantee contract example monetaryduration credit ifrs7
436,effect modification financial asset measurement expected credit loss,enable user financial statement understand nature effect modification contractual cash flow financial asset resulted derecognition effect modification measurement expected credit loss entity disclose amortised cost modification net modification gain loss recognised financial asset contractual cash flow modified reporting period loss allowance measured amount equal lifetime expected credit loss financial asset contractual cash flow modified reporting period loss allowance measured lifetime expected credit loss amortised cost modification disclosure monetaryduration debitfinancial asset contractual cash flow modified reporting period loss allowance measured lifetime expected credit loss modification gain disclosure monetaryduration credit gross carrying amount end reporting period financial asset modified since initial recognition time loss allowance measured amount equal lifetime expected credit loss loss allowance changed reporting period amount equal 12month expected credit loss
437,purpose disclosure,36 disclosure990000 disclosure detailed information financial instrument disclosure ifrs7
438,amount money written,entity disclose contractual amount outstanding financial asset written reporting period still subject enforcement activity
439,definition ifrs735h,35h disclosure990000 type measurement expected credit loss disclosure ifrs7
440,ifrs7ig20d,ig20d exampledisclosure provision matrix exampledisclosure provision matrix example text blockexpected credit loss rate example percent ifrs7
441,definition financial instrument,financial instrument within scope ifrs impairment requirement ifrs9 applied entity disclose class financial instrument amount best represents maximum exposure credit risk end reporting period without taking account collateral held credit enhancement disclosure required financial instrument whose carrying amount best represents maximum exposure credit risk
442,definition credit enhancement,entity obtains financial nonfinancial asset period taking possession collateral hold security calling credit enhancement asset meet recognition criterion ifrss entity disclose asset held reporting date nature carrying amount asset asset obtained taking possession collateral calling credit enhancement disclosure monetaryinstant debitdescription nature asset obtained taking possession collateral calling credit enhancement disclosure text asset readily convertible cash policy disposing asset using operation
443,definition financial instrument,entity disclose maturity analysis nonderivative financial liability show remaining contractual maturity
444,purpose disclosure,unless entity complies paragraphit disclose sensitivity analysis type market risk entity exposed end reporting period showing profit loss equity would affected change relevant risk variable reasonably possible date sensitivity analysis type market risk disclosure text blockcommodity price risk example ifrs7
445,purpose text,entity also disclose explanation method used preparing sensitivity analysis main parameter assumption underlying data provided description method parameter assumption used preparing sensitivity analysis reflecting interdependency risk variable disclosure text explanation objective method used limitation may result information fully reflecting fair value asset liability involved
446,true,sensitivity analysis disclosed accordance paragraphorare unrepresentative risk inherent financial instrument entity disclose fact reason belief sensitivity analysis unrepresentative
447,definition transfer financial asset,purpose applying disclosure requirement  entity transfer part financial asset either transfer contractual right receive cash flow financial asset retains contractual right receive cash flow financial asset assumes contractual obligation pay cash flow one recipient arrangement
448,purpose ,entity disclose information enables user financial statement referconceptual framework  1
449,disclosure requirement  42e42h mean,purpose applying disclosure requirement  42e42h following constitute continuing involvement normal representation warranty relating fraudulent transfer concept reasonableness good faith fair dealing could invalidate transfer result legal action forward option contract reacquire transferred financial asset contract price fair value transferred financial asset arrangement whereby entity retains contractual right receive cash flow financial asset assumes contractual obligation pay cash flow one entity condition  3
450,difference fair value transferred asset associated liability,description nature relationship transferred financial asset derecognised entirety associated liability disclosure text counterparty associated liability recourse transferred asset schedule set fair value transferred asset fair value associated liability net position
451,minimum amount carrying amount asset liability recognised,6 ifrs9 continuing involvement entity disclose minimum type continuing involvement reporting date carrying amount asset liability recognised entity statement financial position represent entity continuing involvement derecognised financial asset line item carrying amount asset liability recognised
452,type continuing involvement required  42e respect particular asset,entity may aggregate information required  42e respect particular asset entity one type continuing involvement derecognised financial asset report one type continuing involvement
453,amount proceeds derecognised financial asset,expense continuing involvement derecognised financial asset disclosure monetaryduration debitexpense continuing involvement derecognised financial asset cumulatively recognised disclosure monetaryinstant debitincome continuing involvement derecognised financial asset disclosure monetaryduration creditincome continuing involvement derecognised financial asset cumulatively recognised disclosure monetaryinstant credit total amount proceeds transfer activity reporting period evenly distributed throughout reporting period greatest transfer activity took place within reporting period explanation greatest transfer activity took place disclosure text amount recognised transfer activity part reporting period gain transfer activity period representing greatest transfer activity disclosure monetaryduration credit total amount proceeds transfer activity part reporting period
454,information required meet disclosure objective  42b,entity disclose additional information considers necessary meet disclosure objective  42b
455,definition ifrs9,42 disclosure836600classes financial asset disclosure ifrs17
456,purpose paragraphof ifrs9,2 ifrs9 depending entity chosen approach applying ifrs9 transition involve one date initial application
457,definition ifrs9,reporting period entity first applies classification measurement requirement financial asset ifrs9 present disclosure set  42l42o ifrs required  7
458,definition ifrs9,increase financial asset arising change measurement attribute initial application ifrs9 disclosure monetaryinstant debitincrease financial liability arising change measurement attribute initial application ifrs9 disclosure monetaryinstant creditthe disclosure  need made annual reporting period entity initially applies classification measurement requirement financial asset ifrs9
459,would recognised profit loss financial asset reclass,fair value gain would recognised profit loss financial asset reclassified fair value profit loss fair value comprehensive income initial application ifrs9 disclosure monetaryduration creditfair value gain would recognised profit loss comprehensive income financial asset reclassified measured amortised cost initial application ifrs9 disclosure monetaryduration creditfair value gain would recognised profit loss comprehensive income financial liability reclassified measured amortised cost initial application ifrs9 disclosure monetaryduration creditthe disclosure  need made annual reporting period entity initially applies classification measurement requirement financial asset ifrs9
460,amount interest revenue expense recognised,required  42k entity disclose following financial asset financial liability reclassified fair value profit loss category result transition ifrs9 effective interest rate determined date initial application effective interest rate determined date reclassification financial asset fair value profit loss category initial application ifrs9 disclosure percenteffective interest rate determined date reclassification financial liability fair value profit loss category initial application ifrs9 disclosure percent interest revenue expense recognised
461,definition financial instrument,entity present disclosure set  42k42n disclosure disclosure paragraphof ifrs must permit reconciliation measurement category presented accordance ias39 ifrs9 class financial instrument date initial application
462,purpose disclosure,financial asset disclosure provided related financial asset measurement category accordance ias39 ifrs9 show separately effect change measurement category loss allowance date
463,definition ifrs9,reporting period includes date initial application ifrs9 entity required disclose line item amount would reported accordance classification measurement requirement includes requirement related amortised cost measurement financial asset impairment section 5
464,obligation entity disclose carrying amount reporting date financial,entity disclose carrying amount reporting date financial asset whose contractual cash flow characteristic assessed based fact circumstance existed initial recognition financial asset without taking account requirement related modification time value money element  b4
465,definition financial asset,12 ifrs9 based fact circumstance existed initial recognition financial asset entity ass contractual cash flow characteristic financial asset based fact circumstance existed initial recognition financial asset without taking account exception prepayment feature  b4
466,purpose ifrs,entity apply ifrs annual period beginning afterjanuary 2007
467,long entity need present comparative information disclosure required ,entity applies ifrs annual period beginning beforejanuaryit need present comparative information disclosure required paragraphsabout nature extent risk arising financial instrument
468,definition amendment,entity apply amendment annual period beginning afterjanuary 2009
469,amendment mean,instead entity account consideration accordance  65a65e ifrs3
470,purpose amendment  3,entity apply amendment paragraphfor annual period beginning afterjanuary 2009
471,purpose  3,paragraphwas amended improvement ifrss issued may 2008
472,purpose amendment,entity apply amendment annual period beginning afterjanuary 2009
473,purpose  44b,entity apply amendment annual period beginning afterjuly 2010
474,purpose amendment,entity apply amendment annual period beginning afterjanuary 2011
475,definition disclosure required amendment,entity need provide disclosure required amendment period presented begin date initial application amendment
476,ifrs10 ifrs11 joint arrangement issued,ifrs10 ifrs11 joint arrangement issued mayamended  3
477,definition ifrs13,ifrs13 issued mayamended paragraphs28 andand appendix deleted  2727b
478,entity apply ias1 amended,entity apply amendment applies ias1 amended june 2011
479,definition disclosure required ifrs7,entity provide disclosure required amendment retrospectively
480,effect amendment,entity applies amendment earlier also apply amendment included investment entity time
481,purpose amendment,amendment need applied comparative information provided period date initial application ifrs9
482,purpose ,entity elect apply  ifrs9 disclose fact provide ongoing basis related disclosure set paragraphsof ifrs
483,purpose amendment,entity apply amendment retrospectively accordance ias8 accounting policy change accounting estimate error annual period beginning afterjanuaryexcept entity need apply amendment  b30 b30a period presented begin annual period entity first applies amendment
484,definition disclosure,entity apply amendment annual period beginning afterjanuary 2016
485,meaning amendment,ifrs16 lease issued januaryamended paragraphsand b11d
486,entity apply amendment ifrs17,entity apply amendment applies ifrs17
487,definition ifrs9,interest rate benchmark reform amended ifrs9 ias39 ifrs7 issued septemberadded  24h 44ff
488,purpose statement,reporting period entity first applies interest rate benchmark reform issued septemberan entity required present quantitative information required paragraphof ias8 accounting policy change accounting estimate error
489,purpose amendment,entity apply amendment applies amendment ifrs9 ias39 ifrs4 ifrs16
490,purpose ,reporting period entity first applies interest rate benchmark reformphasean entity required disclose information would otherwise required paragraphof ias8
491,purpose amendment,entity applies amendment earlier period disclose fact
492,definition supplier finance arrangement,supplier finance arrangement issued maywhich also amended ias7 amended  b11f
493,ifrs definition financial institution,ifrs supersedes ias30 disclosure financial statement bank similar financial institution
494,entity disclose enable user financial statement evaluate nature financial effect,entity disclose information enable user financial statement evaluate nature financial effect business activity engages economic environment operates
495,ifrs group parent,ifrs apply separate individual financial statement entity whose debt equity instrument traded public market file process filing financial statement security commission regulatory organisation purpose issuing class instrument public market consolidated financial statement group parent whose debt equity instrument traded public market file process filing consolidated financial statement security commission regulatory organisation purpose issuing class instrument public market
496,ifrs,entity required apply ifrs chooses disclose information segment comply ifrs describe information segment information
497,segment information required financial report,financial report contains consolidated financial statement parent within scope ifrs well parent separate financial statement segment information required consolidated financial statement
498,operating segment,operating segment may engage business activity yet earn revenue example startup operation may operating segment earning revenue
499,meaning postemployment benefit plan,purpose ifrs entity postemployment benefit plan operating segment
500,definition term chief operating decision maker,term chief operating decision maker identifies function necessarily manager specific title
501,factor may identify single set component constituting entity operating segment,chief operating decision maker us one set segment information factor may identify single set component constituting entity operating segment including nature business activity component existence manager responsible information presented board director
502,role segment manager operating segment,chief operating decision maker also may segment manager operating segment
503,definition matrix form organisation,structure sometimes referred matrix form organisation
504,paragraphspecify,paragraphsspecify situation separate information operating segment reported
505,characteristic operating segment,example similar longterm average gross margin two operating segment would expected economic characteristic similar
506,definition entity financial statement,entity report separately information operating segment meet following quantitative threshold reported revenue including sale external customer intersegment sale transfer isper cent combined revenue internal external operating segment
507,purpose ,entity may combine information operating segment meet quantitative threshold information operating segment meet quantitative threshold produce reportable segment operating segment similar economic characteristic share majority aggregation criterion listed  12
508,percentage revenue entity reported operating segment,total external revenue reported operating segment constitutes le thanper cent entity revenue additional operating segment identified reportable segment leastper cent entity revenue included reportable segment
509,information business activity operating segment reportable combined disclosed,information business activity operating segment reportable combined disclosed segment category separately reconciling item reconciliation required  28
510,purpose ,management judge operating segment identified reportable segment immediately preceding period continuing significance information segment continue reported separately current period even longer meet criterion reportability  13
511,definition reportable segment,operating segment identified reportable segment current period accordance quantitative threshold segment data prior period presented comparative purpose restated reflect newly reportable segment separate segment even segment satisfy criterion reportability paragraphin prior period unless necessary information available cost develop would excessive
512,practical limit number reportable segment entity discloses beyond segment,may practical limit number reportable segment entity separately discloses beyond segment information may become detailed
513,purpose statement,entity disclose information enable user referconceptual framework  1
514,purpose  20,give effect principle paragraphan entity disclose following period statement comprehensive income presented general information described  information reported segment profit loss including specified revenue expense included reported segment profit loss segment asset segment liability basis measurement described paragraphsand reconciliation total segment revenue reported segment profit loss segment asset segment liability material segment item corresponding entity amount described  28
515,purpose ,entity disclose following general information factor used identify entity reportable segment including basis organisation description factor used identify entity reportable segment disclosure text judgement made management applying aggregation criterion  12
516,definition disclosure ifrs12b13,entity report measure profit loss reportable segment
517,purpose  difference sfas 131,addition noncurrent asset financial instrument deferred tax asset net defined benefit asset right arising insurance contract disclosure monetaryduration debit ifrs8
518,amount segment item reported,amount allocated reported segment profit loss asset liability amount allocated reasonable basis
519,purpose  7,chief operating decision maker us one measure operating segment profit loss segment asset segment liability assessing segment performance deciding allocate resource segment profit loss asset liability reported measure
520,difference measurement reportable segment entity liability,difference could include accounting policy policy allocation jointly utilised liability necessary understanding reported segment information
521,definition ifrs833,addition noncurrent asset financial instrument deferred tax asset net defined benefit asset right arising insurance contract disclosure monetaryduration debit ifrs8
522,purpose ,entity change structure internal organisation manner cause composition reportable segment change corresponding information earlier period including interim period restated unless information available cost develop would excessive
523,purpose ,entity changed structure internal organisation manner cause composition reportable segment change segment information earlier period including interim period restated reflect change entity disclose year change occurs segment information current period old basis new basis segmentation unless necessary information available cost develop would excessive
524,information required  3234,information required paragraphsshall provided provided part reportable segment information required ifrs
525,definition ifrs15b89,b89 example871100products service disclosure ifrs15
526,basis attributing revenue external customer individual foreign country,revenue external customer attributed individual foreign country material revenue disclosed separately
527,purpose ifrs,purpose ifrs group entity known reporting entity common control considered single customer
528,purpose ifrs,entity applies ifrs financial statement period beforejanuaryit disclose fact
529,purpose  23,entity apply amendment annual period beginning afterjanuary 2010
530,cost develop,segment information prior year reported comparative information initial year application restated conform requirement ifrs unless necessary information available cost develop would excessive
531,definition amendment,entity apply amendment annual period beginning afterjanuary 2009
532,ias24 related party disclosure amended paragraphfor,ias24 related party disclosure amended paragraphfor annual period beginning afterjanuary 2011
533,purpose amendment,entity apply amendment annual period beginning afterjuly 2014
534,ifrs definition ifrs,ifrs supersedes ias14 segment reporting
535,objective standard,36 assessment amount timing uncertainty entity future cash flow
536,basis conclusion,refer  b2
537,requirement standard lease,however finance lease receivables operating lease receivables recognised lessor subject derecognition impairment requirement standarde2 lease liability recognised lessee subject derecognition requirement  3
538,impairment requirement standard,impairment requirement standard applied right ifrs15 specifies accounted accordance standard purpose recognising impairment gain loss
539,definition loan commitment,loan commitment regarded settled net merely loan paid instalment
540,purpose standard,standard applied contract buy sell nonfinancial item settled net cash another financial instrument exchanging financial instrument contract financial instrument exception contract entered continue held purpose receipt delivery nonfinancial item accordance entity expected purchase sale usage requirement
541,scope standard,designation available inception contract eliminates significantly reduces recognition inconsistency would otherwise arise recognising contract excluded scope standard see  2
542,different way contract settled,various way contract buy sell nonfinancial item settled net cash another financial instrument exchanging financial instrument
543,purpose contract,contract entered purpose receipt delivery nonfinancial item accordance entity expected purchase sale usage requirement
544,true,entity recognise financial asset financial liability statement financial position entity becomes party contractual provision instrument see  b3
545,regular way purchase sale financial asset,regular way purchase sale financial asset recognised derecognised applicable using trade date accounting settlement date accounting see  b3
546,ifrics decision add limited scope project dere,meeting januarythe ifric decided add limited scope project derecognition agenda
547,meaning passage,9 b3
548,difference part financial asset group similar,part comprises fully proportionate share cash flow financial asset
549,definition financial asset,entity derecognise financial asset referias32  last sentence  3
550,definition financial asset,entity transfer financial asset referias32  last sentence  3
551,definition transfer financial asset,2 assumes contractual obligation pay cash flow one entity entity treat transaction transfer financial asset following three condition met
552,definition financial asset,14 entity retained control continue recognise financial asset extent continuing involvement financial asset see  3
553,difference risk reward ownership financial asset,entity retained substantially risk reward ownership financial asset referias32  last sentence  3
554,need perform computation,often obvious whether entity transferred retained substantially risk reward ownership need perform computation
555,difference transferee third party,2 depends transferee ability sell asset
556,definition servicing asset,fee received expected adequate compensation servicing servicing asset recognised servicing right amount determined basis allocation carrying amount larger financial asset accordance  3
557,definition transfer,result transfer financial asset derecognised entirety transfer result entity obtaining new financial asset assuming new financial liability servicing liability entity recognise new financial asset financial liability servicing liability fair value
558,difference carrying amount consideration received,2 entirety difference carrying amount consideration received recognised profit loss
559,difference carrying amount part derecognised,difference carrying amount allocated part derecognised consideration received part derecognised recognised profit loss
560,best estimate fair value part continues recognised,price quote recent market transaction support fair value part continues recognised best estimate fair value difference fair value larger financial asset whole consideration received transferee part derecognised
561,entity transfer result derecognition,transfer result derecognition entity retained substantially risk reward ownership transferred asset entity continue recognise transferred asset entirety recognise financial liability consideration received
562,extent entity continuing involvement transferred asset,entity continuing involvement take form written purchased option transferred asset extent entity continuing involvement amount transferred asset entity may repurchase
563,difference transfer asset associated liability,despite measurement requirement standard transferred asset associated liability measured basis reflects right obligation entity retained
564,continue recognise income arising transferred asset extent continuing involvement,entity continue recognise income arising transferred asset extent continuing involvement recognise expense incurred associated liability
565,purpose ,purpose subsequent measurement recognised change fair value transferred asset associated liability accounted consistently accordance  5
566,difference carrying amount allocated part longer recognised,difference carrying amount allocated part longer recognised consideration received part longer recognised recognised profit loss
567,transferred asset measured amortised cost option standard,transferred asset measured amortised cost option standard designate financial liability fair value profit loss referparagraph 4
568,answer referparagraphs b3 b3215,referparagraphs b3
569,entity offset expense incurred associated liability,similarly entity offset income arising transferred asset expense incurred associated liability
570,accounting collateral transferor transferee,transferor provides noncash collateral transferee accounting collateral transferor transferee depends whether transferee right sell repledge collateral whether transferor defaulted
571,true,entity remove financial liability statement financial position extinguishedie obligation specified contract discharged cancelled expires
572,purpose ,similarly substantial modification term existing financial liability part accounted extinguishment original financial liability recognition new financial liability
573,difference carrying amount financial liability part,difference carrying amount financial liability extinguished transferred another party consideration paid including noncash asset transferred liability assumed recognised profit loss
574,difference carrying amount allocated part derecognised,difference carrying amount allocated part derecognised consideration paid including noncash asset transferred liability assumed part derecognised recognised profit loss
575,definition financial liability,fund underlying item include entity financial liability
