,question,answer
379,amount company check cashed get cash,amount company check cashed get cash petty cash fund back imprest general ledger amount 100
380,bookkeeping,bookkeeping includes recording storing retrieving financial transaction business nonprofit organization individual etc
381,allowance doubtful account,allowance doubtful account contra asset account used balance account receivable report net realizable value receivables
382,amount company receivables turning,balance account allowance doubtful account estimated amount company receivables turning cash
383,bank record loan,bank record loan increasing current asset loan customer loan receivable increasing current liability customer demand deposit
384,difference two amount,let assume company obtains abank loan must repaid withinmonths
385,difference two amount,difference two amount may pertain bank fee prepaid interest also recorded
386,normal balance owner equity,since normal balance owner equity credit balance revenue must recorded credit
387,company allows customer pay indays,company earns additionalof revenue allows customer pay indays company increase asset account account receivable debit 500
388,purpose income summary account,computerized accounting system may close temporary account without recording amount income summary account
389,common term loan employee,common loan employee specify interest rate schedule payment
390,default method accounting,entry debit loan employee forand credit cash 5000
391,bill payable,bill payable document show amount owed good service received credit
392,bill payable,example bill payable include monthly telephone bill monthly bill electricity used bill repair completed bill merchandise purchased retailer credit etc
393,credit balance account payable,accrual method accounting bookkeeping bill payable unpaid vendor invoice recorded account payable credit entry
394,adjusted trial balance,adjusted trial balance internal document list general ledger account title balance adjustment made
395,meaning unadjusted trial balance,manual accounting system unadjusted trial balance might prepared bookkeeper certain general ledger debit amount equal credit amount
396,balance account prepaid insurance overstated,doubleentry accounting system balance account prepaid insurance overstated likely account insurance expense understated
397,difference credit card payment debit,company payment credit card company result credit company cash account
398,purpose study,assuming credit card purchase previously entered account many debit order record many credit card purchasestransactions company appropriate general ledger account
399,ledger,today ledger account likely electronic record file
400,general ledger,example ledger company general ledger contains asset liability owner equity revenue expense gain loss account
401,amount accrued income corporation right receive,amount accrued income corporation right receive date balance sheet reported current asset section balance sheet
402,purchase discount,purchase discount deduction company may receive supplier offer company pay supplier invoice within specified period time
403,much discount company subtract supplier invoice,company allowed subtract purchase discount remitif invoice paid indays
404,term sale discount,sale discount also known cash discount early payment discount
405,alternative buyer paywithindays,alternative buyer paywithindays
406,taccount,account title written horizontal part
407,difference current balance needed ending balance,next step determine amount correct ending balance balance sheet account
408,difference recording debit recording credit,instance recording debit entry equipment account instead recording debit equipment repair account uncovered trial balance
409,reversing entry recorded reverse accrual adjusting entry expense,first day accounting period reversing entry recorded reverse accrual adjusting entry expense liability previous period current liability account show debit balance
410,reason company receives cash 500,assume company receives cash ofbut readily determine reason received 500
411,abbreviation account,accounting ac abbreviation account
412,ac interest payable,accountant might leave following note subordinate please review balance ac interest payable
413,term term accrued rent,accrued rent amount rent yet paid tenant received landlord past period time
414,much rent due month,landlord assured rent due paid february 1
415,fully depreciated car,fully depreciated car one car historical cost already allocated expense
416,accounting entry fully depreciated car,company depreciate car cost
417,postdated check,postdated check check written future date
418,supplier turn check cash,reason check turned cash prior date shown check
419,last day accounting period,adjusting entry usually made last day accounting period company financial statement comply accrual method accounting
420,correcting entry,correcting entry journal entry made correct error previously recorded transaction
421,memorandum entry,memorandum entry short message entered general journal also entered general ledger account
422,many share common stock split,stock split result number issued outstanding share common share increasing fromshares toshares
423,understated accounting,accounting understated mean reported amount le actual true amount based accounting rule
424,much understated doubleentry accounting system,situation accountant say reported amount account payable understated 20000
425,working capital,working capital defined amount company current asset minus amount current liability usually final moment accounting period
426,definition land used business,land used business reported company balance sheet asset heading property plant equipment
427,value warehouse building,assume company purchase warehouse business operation
428,outstanding check,outstanding check check written company recorded company account yet appearing bank account paid
429,happens company void one outstanding check,check voided also removed list outstanding check
430,contraliability account,contraliability account liability account balance expected debit balance
431,difference payment liability,payment signed contract mean company received money advance work specified contract
432,amount money topco must pay machine delivered,contract requires customer pay topcowhen contract signed remainder ofto paid topco delivers machine withindays signing
433,insurance policy deductible loss inventory,insurance policy state insured company paid cost inventory lost minus amount insurance policy deductible
434,deductible inventory lost fire,assume company receivedfrom insurance company settlement inventory lost fire
435,recurring journal entry,recurring journal entry involve account amount month
436,example recurring journal entry amount differ month,example recurring entry amount differ period include sale interest earned interest expense bank service charge others
437,cause normal credit balance stockholder equity decrease,reason debited cause normal credit balance stockholder equity decrease
438,doubleentry bookkeeping,doubleentry bookkeeping refers 500yearold system financial transaction company recorded entry least two general ledger account
439,happens company borrowsfrom bank,company repaysof amount borrowed company decrease amount cash account credit entry ofand reduce balance loan payable account debit entry 3000
440,abbreviation italian term debit,accounting bookkeeping debit dr
441,general ledger account asset expense,typically general ledger account asset expense debit dr
442,adjusting entry wage payable,adjusting entry typically debit wage expense credit wage payable
443,much company wage payable,work week sunday decemberthrough saturday decemberjane earnedof wage company pay january 2
444,balance company current liability,company current liability decemberbalance sheet must include theof wage payable jane earned company owes december 31
445,invoice,invoice dated bill prepared seller good sold includes brief description item quantity item unit price extension total amount payment term
446,seller sale invoice,purchaser good service refer seller sale invoice receives vendor invoice purchase invoice
447,special journal,special journal useful manual accounting bookkeeping system reduce tedious task recording debit credit general ledger account name amount general journal
448,benefit using special journal instead general journal repetitive transaction,benefit using special journal instead general journal repetitive transaction eliminated today inexpensive yet powerful accounting software
449,popular special journal manual accounting system,addition sale journal special journal popular manual accounting system
450,reclassify amount mean,reclassify amount likely mean move amount one general ledger account another general ledger account
451,best way move amount advertising expense marketing supply,accountant us journal entry move amount entry description might reclassifyfrom advertising expense marketing supply
452,adjunct account,adjunct account might referred valuation account
453,monetary value bond,time bond issued carrying amount book value 2100000
454,much carrying amount equipment,assume company equipment debit balance 450000
455,petty cash fund,petty cash fund small amount money available pay small amount without requiring processing business check
456,petty cash fund,company want start petty cash fund new general ledger account entitled petty cash must opened
457,general ledger account inventory dormant,throughout year general ledger account inventory dormant contains cost prior year ending inventory
458,total amount postclosing trial balance,total amount postclosing trial balance show account debit balance account credit balance
459,net amount asset reported balance sheet,therefore total asset reported balance sheet report net amount 70000
460,difference postclosing trial balance balance sheet total,cause difference ofbetween balance sheet total postclosing trial balance total
461,difference contra asset account general ledger account,account known contra asset account since credit balance contrary usual debit balance found asset account
462,happens amount recorded incorrectly result switching position two,transposition error occurs amount recorded incorrectly result switching position two digit
463,difference correct incorrect amount,example ifwas correct amount recorded incorrectly asthe difference two amount 18
464,find difference two amount,faced finding difference two amount might save time first dividing difference 9
465,difference discount purchase office furniture reduction,word discount reduction asset cost
466,much furniture fixture account increase company pay invoice withindays,company pay invoice withindays furniture fixture account increase 9900
467,common invoice payment term,invoice payment term appear part information shown invoice prepared seller good provider service
468,goodcorp record credit memo,informing salesmax salesmax issued credit memo asks goodcorp destroy donate theunits
469,difference note payable interest payable,since note payable require issuerborrower pay interest issuing company interest expense
470,purpose loan agreement,company record loan general ledger account note payable
471,account account payable,account account payable normally current liability used record purchase credit company supplier
472,difference cost equipment accumulated depreciation,time equipment put service beginning year related accumulated depreciation account show credit balance 45000
473,company borrows money bank lender,note payable required company borrows money bank lender
474,difference income tax current liability,generally profitable regular corporation financial statement report income tax expense current liability income tax payable
475,cash discount,cash discount deduction allowed seller good provider service motivate customer pay within earlier specified time
476,purpose discount,discount offered avoid expense billing mailing statement unpaid amount processing partial payment collecting amount owed etc
477,trade receivable,account receivable usually current asset result selling good providing service customer credit
478,definition company account receivables,however term receivables could include trade receivables nontrade receivables
479,difference credit debit balance,credit balance offset debit balance purchase account
480,many day company purchase merchandise using periodic inventory system,let assume company using periodic inventory system purchased merchandise cost ofwith term netdays
481,objective responsibility accounting,objective responsibility accounting assist planning control company responsibility center
482,recent month,typically decentralized department division within company receive monthly report showing budgeted actual amount recent month well yeartodate budgeted actual amount
483,process preparing balance sheet,balance sheet prepared accountant must review deferralsprepaids move appropriate amount expense
484,difference current asset deferred expense,amount expensed balance sheet date reported current asset
485,contra owner draw,owner draw withdrawal sole proprietorship cash asset made owner owner personal use
486,owner entry record month draw,smith owner sole proprietorship withdrawseach month owner household expense
487,reclassification,accounting term reclassification often used describe moving amount one general ledger account another
488,purpose reclassification,description controller journal entry reclassify xyz co
489,cost good sold,good sold accounting period must reported retailer income statement cost good sold
490,much inventory credited inventory end year,balance sheet report inventory 900
491,best way record prepaid expense,one method recording prepaid expense record entire payment asset account
492,purchase allowance,case purchase allowance buyer return merchandise supplier
493,happens supplier request retailer donate discard item,retailer notified supplier supplier requested retailer donate discard item supplier issue credit memo 15
494,contra expense account,contra expense account general ledger expense account intentionally credit balance
495,benefit using contra expense account,company income statement report combination amount accountsandin order show company actual expense 8000
496,petty cash amount,petty cash amount may appear first second item listed current asset section balance sheet
497,valuation account,accounting valuation account usually balance sheet account used combination another balance sheet account order report carrying amount carrying value asset liability
498,difference credit balance allowance doubtful account,combination credit balance allowance doubtful account debit balance account receivable net realizable value company account receivable
499,period time customer refunded deposit,period time public utility refund customer utility deposit
500,purpose test,new business record deposit adebit current asset account utility deposit credit asset account cash 500
501,capital surplus,past capital surplus used describe referred paidin capital excess par premium common stock
502,permanent account,accounting permanent account refers general ledger account closed end accounting year
503,balance sheet account,generally balance sheet account permanent account except owner drawing account balance sheet account temporary account
504,much depreciation company record month,using straightline depreciation method monthly depreciation beper month
505,hourly pay paid,generally employee earning hourly wage paid week follows hour worked
506,average hourly rate pay warehouse employee,employee worked onlyhours work week paycheck show gross wage 450
507,difference two pay date,one pay date 15th day month working 1st 15th pay date last day month working 16th last day month
508,much manager earn,illustrate let assume manager company might earn salary ofper year
509,law protect employee work thanhours per week,state law protects employee work thanhours per week wage salary certain level
510,seller december 30,decemberthe seller record sale account receivable reduction inventory
511,seller sell good,assume seller quotedfob destination seller loaded good onto common carrier december 30
512,purpose threeway match,accounting bookkeeping area account payable threeway match refers procedure used processing invoice received vendor supplier
513,common accounting textbook use bad debt,accounting textbook likely use bad debt expense uncollectible account expense describe amount reported income statement
514,credit memo,one type credit memo issued seller order reduce amount customer owes previously issued sale invoice
515,credit memo mean,word credit memo reduced sellercorps net sale account receivable
516,common way determine retained earnings presently used,amount corporation retained earnings reported stockholder equity section balance sheet cash generated retained earnings likely company checking account
517,corporation positive net income balance retained earnings,year revenue gain exceed expense loss corporation positive net income cause balance retained earnings account increase
518,normal balance profitable corporation retained earnings account,balance retained earnings account debit balance negative amount retained earnings may described deficit accumulated deficit
519,accounting entry company money advance earning,company receives money advance earning accounting entry debit asset cash amount received credit liability account customer advance unearned revenue
520,common type insurance,company property insurance liability insurance business interruption insurance etc
521,purpose adjusting entry,done adjusting entry end accounting period e
522,company write adjusting entry,adjusting entry prepared end nextmonths
523,purpose journal entry depreciation,purpose journal entry depreciation achieve matching principle
524,sundry mean,sundry mean various miscellaneous diverse
525,meaning sundry debtor,sundry debtor could referring company customer rarely make purchase credit amount significant
526,effect elimination need classifying customer account sundry,efficiency low cost today accounting system need classifying customer account sundry eliminated
527,net asset,net asset defined total asset minus total liability
528,difference two category,corporation amount net asset reported stockholder equity
529,difference principal interest,cash received bank loan referred principal amount
530,simplest way assume company borrowsfrom bank,let assume company borrowsfrom bank
531,source document,past source document printed paper
532,difference transportationin freightin cost,transportationin cost also known freightin cost part cost good purchased
533,much cost good sold,subtract thecost inventory isas cost good sold
534,meaning term imprest,imprest system petty cash mean general ledger account petty cash remain dormant constant amount
535,calculate discount,high volume company purchasesof good cost 28000
536,bad debt expense,bad debt expense related company current asset account receivable
537,voucher,voucher act cover page following attached vendor invoice company purchase order company receiving report information needed process vendor invoice payment
538,current year inventory,periodic method periodic system account inventory dormant throughout accounting year report cost prior year ending inventory
539,company change inventory account balance ending inventory cost,using periodic method balance inventory account changed ending inventory cost recording adjusting entry
540,general ledger account receivable,instance subsidiary ledger account receivable contains information company credit sale customer customer remittance return merchandise discount
541,purpose detail account receivable activity,detail account receivable activity subsidiary ledger employee company credit department company access credit sale information without access information general ledger
542,definition materiality,accounting materiality refers relative size amount
543,reason expensing wastebasket year acquired,reason investor creditor interested party would misled immediately expensing thewastebasket
544,petty cash voucher,petty cash voucher usually small form used document disbursement petty cash fund
545,petty cash voucher,shown example petty cash voucher
546,accrued expense payable,accrued expense payable liability account record amount owed vendor invoice yet received andor yet recorded account payable end accounting period
547,amount recorded accrued expense payable,amount recorded accrued expense payable may estimated amount supported reasonable documented calculation
548,difference cost good sold amount good belong,example current income statement show cost good sold asinstead normalthe current month amount investigated releasing financial statement
549,trade discount,trade discount routine reduction regular established price product
550,much reseller charged,however reseller given trade discount offrom catalog price charged 80
551,trade discount,example good list price totalingare sold wholesaler entitled atrade discount seller buyer record transaction 730
552,voucher,voucher often prenumbered form used account payable department standardize enhance company internal control payment vendor service provider
553,role voucher account payable,could think voucher used account payable cover sheet necessary supporting document approval attached
554,controller head accounting department,company controller considered chief accounting officer head accounting department
555,difference accrued interest interest revenue,accrued interest amount loan interest already occurred yet paid borrower yet received lender
556,adjusting entry company,company adjusting entry debit interest expense forand credit accrued interest payable 50
557,bank balance,typically ending balance bank statement month
558,ending balance company checking account,company receives checking account statement bank showing june activity ending balance juneis bank balance
559,balance per book,term book balance also used bank reconciliation amount shown company general ledger bank account
560,balance bank statement yet recorded general ledger account,case bank fee electronic transfer bank statement yet recorded company general ledger account
561,definition unearned income,amount earned liability account reduced amount earned reported income statement revenue
562,company receives thein december debit asset cash forand,company receives thein december debit asset cash forand credit liability account unearned revenue
563,special order begin company debit liability account forand credit,special order begin completed january company debit liability account forand credit revenue account
564,best way reduce potential problem company,order company minimize potential problem company wise routinely review aging account receivable
565,aging account receivable,aging account receivable give company management valuable easytoread report highlight customer past due sale invoice
566,gift certificate,gift certificate often sold retailer buyer cash
567,value gift certificate,sale gift certificate recorded debit cash credit liability account gift certificate outstanding
568,tax treatment gift certificate,learn income tax treatment transaction seek advice tax professional go www
569,balance sheet jones corporation,therefore jones corporation decemberbalance sheet cash include theand current liability report deferred revenue 10000
570,carriage inwards,hence inventory item carriage inwards part cost good available cost inventory cost good sold
571,definition carriage inwards cost,carriage inwards cost considered part cost item purchased since asset cost defined cost necessary get asset place ready use
572,definition insurance expense,accrual basis accounting insurance expense cost insurance incurred expired used current accounting period nonmanufacturing function business
573,reported income statement account,cost expired reported income statement account insurance expense fringe benefit expense etc
574,customer deposit,customer deposit could also refer money bank received depositor
575,ace debit customer deposit 50000,machine completed inace debit customer deposit forand credit sale revenue 50000
576,difference sale tax depreciation expense,total cost van charged depreciation expense van useful life
577,state sale tax,company sellsof merchandise subject state sale tax ofthe company collect 107000
578,total cost asset become expense,total cost asset including installation cost become expense asset depreciated asset useful life
579,accrued payroll,accrued payroll includes wage salary commission bonus payroll related expense earned company employee yet paid recorded company general ledger account
580,much accrued payroll,therefore total amount accrued payroll 6000
581,meaning loss,loss could several meaning
582,account payable,however people use term amount already recorded general ledger account account payable
583,purpose invoice,reviewing approving invoice corporation enters joes invoice accounting record credit account payable debit repair maintenance expense
584,difference unadjusted trial balance adjusted trial balance,difference unadjusted trial balance adjusted trial balance amount adjusting entry
585,difference revenue account expense account,closing entry transfer yearend balance revenue account expense account corporation retained earnings account sole proprietorship owner equity account
586,fica tax rate 2024,3 firstof net income plus 2
587,fica tax rate 2025,3 firstof net income plus 2
588,difference bookkeeper accountant,recording transaction accountant business owner review bookkeeper work make required adjusting entry company financial statement distributed
589,much interest due note,let assume decembera company borrowedat annual interest rate 12
590,cleared company bank account yet,word company issued check four month earlier check yet cleared company bank account
591,communicate payee outstanding check,best practice communicate payee outstanding check check outstanding second month
592,job bookkeeper,today bookkeeper must comfortable accounting software quickbooks electronic worksheet
593,salary range bookkeeper,reason wide salary range include size location company bookkeeper responsibility bookkeeper experience accounting software ability get thing done without supervision etc
594,best way increase value accounting,mentioned proficient accounting software quickbooks increase value
595,contingent liability,contingent liability potential liability
596,difference contingent liability liability,another contingent liability warranty automaker provide new car
597,way estimate amount liability,company required estimate amount since estimated amount far better implying liability owed expense incurred
598,fica payroll tax,fica payroll tax withheld employee also matched employer
599,minimum amount fica tax employer must withhold paycheck,employer one employee earningper year employer must withhold employee paycheck total ofin fica tax
600,definition fringe benefit expense,employer matching fica tax recorded employer payroll tax expense fringe benefit expense employee work manufacturing department
601,expected amount salvage value included depreciation expense asset,calculating depreciation expense asset expected amount salvage value included
602,common assumption account income tax regulation assume plant asset,accountant income tax regulation often assume plant asset salvage value
603,definition vendor,another term vendor supplier
604,definition vendor invoice,company may refer invoice vendor invoice
605,payroll accrual,payroll accrual amount company owes work done employee amount yet recorded company general ledger account
606,owe date hourly paid employee,therefore junethe company owes hourlypaid employee amount earned juneand june 30
607,definition purchase,context company sell merchandise term purchase refers purchase good intended sold customer
608,much inventory good sold,good going sold foreach
609,company able remove amount check bank fee,achieved crediting cash debiting account receivable
610,much would required reconcile balance check,hand abc recorded returned check general ledger account mayabcs maybank reconciliation require adjustment balance per book forto agree bank record
611,lender received interest,accrued interest note receivable amount interest lender earned lender yet received
612,first interest payment due,interest paid quarterly
613,corporation charge depreciation expense foryears,example mean annual depreciation expense foryears
614,postclosing trial balance,postclosing trial balance trial balance prepared temporary account general ledger closed
615,total account,00 balance along account balance appearing appropriate debit credit column
616,restrictive endorsement,restrictive endorsement restricted endorsement place limitation use check negotiable financial instrument
617,common restrictive endorsement check,similar restrictive endorsement might pay order sample bank deposit account xxxx followed payee signature
618,simplest way determine cost land,retailer must remove cost land general ledger asset account land record cash received record gain loss sale land
619,much retailer sell land,retailer decides sell parcel 500000
620,social security payroll tax,social security tax withheld employee matched employer
621,medicare tax peopleof age older,medicare tax pertains health care peopleof age older
622,difference two,selfemployed person responsible employee employer portion fica
623,meaning term adjusting,without accrual adjusting entry transaction likely reported later accounting period
624,much new corp able pay december,assuming december sale arenew corp incurring commission expense ofand liability 5000
625,correct accounting method financial statement sale rep company,sale rep company financial statement comply accrual method accounting need record following accrual adjusting entry december debit asset account commission receivable forcredit commission revenue 5000
626,uncleared cheque,accounting textbook uncleared cheque referred outstanding check
627,check,therefore thischeck uncleared cheque outstanding check
628,financial statement distributed adjusting entry permanently removed context,financial statement distributed adjusting entry permanently removed
629,purpose article,assume company incurredof interest expense yet recorded december 31
630,bookkeeping equation sole proprietorship,bookkeeping equation show following asset owner equity 900
631,difference amount fica tax withheld employee amount,word employer additional expense equal total fica tax withheld employee
632,annual earnings wage limit higher income taxpayer,annual earnings wage limit fica rate information additional medicare tax higher income taxpayer found irs
633,difference sole proprietorship regular corporation,income statement sole proprietorship regular corporation report revenue expense gain loss net income
634,difference income statement sole proprietorship regular corporation,result two difference net income different
635,balance current asset account prepaid expense,company issue quarterly financial statement account balance prepaid expense must report actual amount actually prepaid end quarter
636,much insurance coverage company pay,also assume decemberthe company paidfor insurance coverage decemberthrough may 31
637,loan interest,loan interest also income earned lender allowing borrower use lender money
638,principal payment made borrower liability decreased bank,principal payment made borrower liability note payable loan payable decreased bank asset note receivable loan receivable decreased
639,definition nonmanufacturing overhead cost,nonmanufacturing overhead cost business expense outside company manufacturing operation
640,example nonmanufacturing overhead cost,example nonmanufacturing overhead cost include salary expense following business activity selling distribution marketing finance accounting human resource legal
641,difference accelerated depreciation straightline depreciation,accelerated depreciation mean cost asset used business charged depreciation expense faster rate straightline depreciation
642,difference using accelerated depreciation income tax return using,income tax regulation allow business use accelerated depreciation income tax return using straightline depreciation financial statement
643,float accounting bookkeeping,accounting bookkeeping float time writing check time check clear bank account drawn
644,happens mary mail rent check,mary play float mail rent check thursday even though sufficient balance personal checking account
645,mortgage,mortgage provides lien property protects lender borrower fails pay amount owed
646,definition mortgage,example assume company want buy vacant warehouse 500000
647,maximum amount employer social security tax employee 2024,employer social security payroll tax rate employee social security payroll tax 6
648,maximum amount employer social security tax withheld employee,effect employer matching social security payroll tax withheld employee wage salary etc
649,difference social security payroll tax medicare payroll tax,combination social security payroll tax medicare payroll tax referred fica tax
650,definition segregation duty,segregation duty part company internal control safeguarding asset
651,difference person handling cash person recording cash amount,another example segregation duty person handling cash person recording cash amount company ledger
652,social security tax rate 2024,employeesearnings excess ofare subject social security tax
653,social security tax rate 2025,employeesearnings excess ofare subject social security tax
654,minimum amount social security medicare payroll tax employer must match,addition employee social security medicare payroll tax employer must match amount withheld employee paycheck
655,company receives customer order without receiving payment accounting entry,time company receives customer order accounting entry made company general ledger account
656,difference sale tax revenue,therefore sale tax collected part seller sale revenue
657,state sale tax,assume retailer product subject state sale tax 6
658,account written,account written likely referring account receivable company deemed uncollectible removed general ledger account account receivable
659,company default rate,assume one company customer givendays pay filed bankruptcy customer asset close 0
660,returned check,check returned sufficient fund also referred returned check bank return item check bounced rubber check since bounced back payee bank check drawn
661,company plan check cleared bank account,planned making adeposit check cleared bank account
662,sale credit,sale credit revenue earned company sell good allows buyer pay later date
663,company receivesof good customer,company sellsof good customer term company debit account receivable forand credit sale 10000
664,blank check,blank check often refers check signed authorized check signer without completing information
665,best way make blank check,even office manager dependable honest employee signed blank check might discovered another person completes check name amount
666,definition expense,accrual basis accounting expense cost used expired directly related revenue reported company income statement
667,prepayment rent moved,three month januarythrough march theprepayment must moved balance sheet asset account income statement expense account
668,lease,typically lease written agreement owner property land building equipment vehicle etc
669,much business pay forklift dealer,60th monthly payment business may take ownership forklift truck paying forklift dealer additional 500
670,definition accrual adjusting entry,decemberthe retailer need accrual adjusting entry december financial statement report expense liability
671,purpose deferral adjusting,deferral deferral adjusting entry prepared end accounting period defer expense andor revenue already recorded general ledger account
672,net method accounting,accounting net method likely refers way company record vendor invoice offer early payment discount
673,difference net method cash method,company policy pay vendor invoice within discount period net method result precise current liability amount balance sheet
674,aging account receivable,aging account receivable sort amount company owed column heading currentdays past duedays past due etc
675,much account receivable never collected,reviewing aging account receivable company discovers past due customer estimate thatof account receivable never collected
676,maximum amount employeesearnings subject social security payroll,maximum amount employeesearnings subject social security payroll tax 168600
677,maximum amount employee earnings subject social security payroll,calendar year maximum amount employee earnings subject social security payroll tax 176100
678,maximum social security tax amount employee,government two time social security payroll tax withholding
679,reason sale tax included company sale invoice,result sale tax included company sale invoice recorded current liability account sale tax payable
680,definition sale,sale also referred gross sale
681,definition recognize expense,recognize expense mean report proper amount expense income statement appropriate accounting period
682,company use adjusting entry order income statement balance sheet reporting,company use adjusting entry order income statement balance sheet reporting proper amount appropriate accounting period accrual method accounting
683,depreciable cost plant asset,mean total amount depreciation 90000
684,much depreciable cost ofdivided byyears 18000,depreciable cost ofdivided byyears depreciation year foryears
685,many unit activity company producing 2023,90 per unit
686,accumulated depreciation asset,book value asset cost minus accumulated depreciation
687,many year useful life depreciable cost 90000,first year multiplytimes depreciable cost ofof depreciation
688,much sale discount,sale discount allows customerclient deductof amount owed amount paid withindays sale service date sale invoice
689,best way improve collection money owed company,improve collection money owed company company invoice may state credit term asnet 30
690,cash dividend,cash dividend distribution corporation earnings stockholder shareholder
691,purpose entry,amy ott also lends money business entry debit cash credit liability account note payable
692,consult accountant tax professional,consult accounting tax professional well attorney regarding type business structure used pro con investing versus lending new business
693,expanded accounting equation sole proprietorship,expanded accounting equation provides detail owner equity amount shown basic accounting equation
694,difference amount corporation asset liability,stockholder equity reported corporation balance sheet amount difference amount corporation asset liability
695,difference cumulative earnings cumulative dividend declared,cumulative earnings minus cumulative dividend declared result negative amount negative amount retained earnings
696,difference nfps statement financial position forprofit,nonprofit notforprofit organization balance sheet known statement financial position name appear heading important required financial statement
697,current liability retailer,retailer receives merchandise one vendor received vendor invoice company current asset inventory recorded current liability account payable
698,best way record amount owed vendor,however end accounting period retailer prepare accrual adjusting entry record amount owed vendor yet recorded
699,difference total amount asset total amount liability reported,since corporation stockholder equity difference total amount asset total amount liability reported balance sheet corporation book value market value corporation
700,much book value per share common stock,corporation without preferred stock stockholder equity decemberofand hasshares common stock outstanding date book value per share common stock 12
701,cash basis accounting revenue reported income statement cash,cash basis accounting revenue reported income statement cash received
702,much client pay january,rather client paid thein january
703,report rent expense december,accrual basis accounting report rent expense december rent used december also report estimated utility expense ofso december income statement provides better measure december profitability
704,cash basis accounting,financial statement prepared accordance generally accepted accounting principle accrual basis accounting required matching principle
705,capital expenditure,usually cost recorded balance sheet account reported heading property plant equipment
706,definition capital expenditure,capital expenditure include amount spent acquire make significant improvement land building machinery equipment furniture fixture vehicle computer information system leasehold improvement etc
707,example revenue expenditure,example revenue expenditure include amount spent repair maintenance selling general administrative expense
708,charged expense immediately,future benefit cost determined charged expense immediately
709,much depreciation expense company report monthly income statement,hence company purchase elaborate office system forthat useful formonths company reportof depreciation expense monthly income statement
710,difference two method depreciation,mean compared straightline method depreciation expense faster early year asset life slower later year
711,much depreciation expense fixture book value,beginning first year fixture book value issince fixture yet depreciation
712,absorption costing,absorption costing indicates manufacturing cost assigned unit good produced
713,goodwill,accounting goodwill intangible asset associated business combination
714,fair value business x identifiable asset liability,therefore company payingmillion identifiable asset liability value ofmillion
715,accrued vacation pay,accrued vacation pay amount vacation pay company employee earned company yet paid
716,many hour vacation employee earn current year,let assume company formal agreement provides employee withhours paid vacation year following employee fulltime employment
717,difference direct writeoff allowance method,entry write bad account depends whether company using direct writeoff method allowance method
718,direct writeoff method,direct writeoff method company writes bad account receivable specific account determined uncollectible
719,longterm liability,longterm liability obligation resulting previous event due within one year date balance sheet
720,best way determine company cash shortage,even significant amount working capital company experience cash shortage current asset turning cash
721,term impairment,term impairment associated asset currently market value le asset book value
722,difference corporation acquired another company,second example corporation x acquired another company
723,unit production method depreciation,unit production method depreciation assumes asset useful life related usage rather mere passage time
724,many unit production method used depreciate machine,illustrate unit production method let assume company machine cost ofand useful life expected end producingunits component part
725,liability,potential contingent liability probable amount estimated recorded asan expense loss income statement anda liability balance sheet
726,difference loss contingency liability,loss contingency probable possible amount estimated mean amount recorded company account reported liability balance sheet
727,difference remote loss contingency nonremot,loss contingency remote recorded disclosed note financial statement
728,warranty liability,product warranty recorded time product sale debiting warranty expense crediting warranty liability estimated amount
729,cost loan,loan cost may include legal accounting fee registration fee appraisal fee processing fee etc
730,much interest company pay year loan,addition onetime loan cost ofthe company also cost borrowed money interest year five year
731,good transit end accounting period require special accounting attention since,good transit end accounting period require special accounting attention since good physically present either seller buyer location
732,company sale receivable,term sale fob destination company sale receivable january 2
733,capitalized interest,capitalized interest interest debt used finance selfconstructed longterm asset
734,maximum amount capital interest building addition,capitalized interest based theloan ofand accumulated construction expenditure threemonth construction period
735,comprehensive income corporation,comprehensive income corporation combination following amount occurred specified period time year quarter month etc
