question,answer
What is the definition of a conglomerate?,"However, in a conglomerate, diversification of the business in the companies is normal practice, and usually these companies depict a multi-industry corporate structure."
What is the meaning of consolidated financial statements?,"Putting another way, consolidated financial statements can be addressed as the combined financial statements of a parent company and its subsidiaries."
what is a construction contract?,A construction contract can be explained as the warranty that ensures that the executed job gets the specific amount of compensation or the way compensation will be distributed.
what is a Contingent asset?,"Contingent asset is possible asset that arises from past events, and whose existence will be confirmed only by the occurrence or non-occurrence of one or more uncertain future events not wholly within the control of the entity."
what is a continuing operation?,Continuing operations refers to a business term which is used to define the divisions of the business of a company which is considered to be normal in addition to being expected to operate in for the near future.
What is the most common convertible security?,"The most common convertible security includes convertible preferred stock or convertible bonds, which can be transformed into common stock or equity."
what is cost method?,"Cost method is a method of accounting for an investment, whereby the investment is recognized at cost."
What is the cost of goods sold?,It is also commonly known as the “cost of goods sold (COGS)”.
what is cost recovery method?,The cost recovery method is basically a method for recognizing revenue as per which the gross profit is not recognized till the time the entire merchandise cost has been successfully recovered.
what is current assets?,Current assets are those assets that are expected to be used (sold or consumed) within 12 months.
What are the other liabilities of an entity?,Other liabilities are non-current liabilities.
"What are the terms that are equally important in finance, taxation and management accounting?","These terms are equally important in finance, taxation and management accounting."
what is debt management?,"Debt management refers to an unofficial agreement with unsecured creditors for repayment of debts over a specific time period, generally extending the amount of time over which the debt will be paid back."
What is the definition of reducing balance depreciation method?,"In this method, the depreciation charged to the asset in the early years of asset life is higher, and it gradually decreases as the years pass."
what is deferred tax liabilities?,Deferred tax liabilities are “the amounts of income taxes payable in future periods in respect of taxable temporary differences”.
What are the restrictions with regard to how and when an employee can withdraw the funds without being penal?,"Besides, restrictions with regard to how and when an employee can withdraw the funds without being penalized also exist for the plan."
what is defined contribution plan?,Defined contribution plan is basically a plan for retirement where a certain specified percentage or amount of money is kept aside every year by an organization for their employees benefit.
what does it mean to have defined contribution plans?,International Accounting Standard 19 (IAS 19) defines defined contribution plans as “post-employment benefit plans under which an entity pays fixed contributions into a separate entity (a fund) and will have no legal or constructive obligation to pay further contributions if the fund does not hold sufficient assets to pay all employee benefits relating to employee service in the current and prior periods”.
What is direct allocation method?,"In this method, the costs of the manufacturing services department are allocated directly to the production department of the company and to the product itself."
What is the definition of direct cost?,"In other words in a production process of a product, cost of labor, material and other expenses related to this production calls direct cost."
What is the definition of direct labor cost?,"In case of service industry, direct labor cost is referred to the labor cost needed for providing a particular service."
What is the definition of the term discontinued operations?,"The discontinued operations refer to the operations of a business which have been abandoned, sold, or else wise disposed of."
what is the difference between a person’s debt to income ratio and the gross income of?,"Besides, the disposable income amount is utilized for calculating a person’s debt to income ratio."
What is the definition of a disposal value?,The minimum value at which this machine should be sold without loss is called its book or disposal value.
what is distribution cost?,Distribution costs (also known as “Distribution Expenses”) are usually defined as the costs incurred to deliver the product from the production unit to the end user.
what is double-entry accounting?,"Double-entry accounting is a system, which is used to record transactions in the daybooks for the accounting purpose."
what is the depreciation rate in a straight line method?,The depreciation in this method is charged on the complete purchase price of asset rather than the net of salvage value price in straight line method.
What is the percentage of the company’s distributable profit allocated to each outstanding equity share?,Earnings per share (EPS) is the portion of the company’s distributable profit which is allocated to each outstanding equity share (common share).
what is effective interest method?,Effective interest method is a method of calculating the amortized cost of a financial asset or a financial liability (or group of financial assets or financial liabilities) and of allocating the interest revenue or interest expense over the relevant period.
What are some examples of employee benefits?,Employee benefits can be explained as different non-wage compensations offered to employees other than their normal salaries or wages.
what is the definition of equity?,Equity is equal to total assets minus liabilities.
Does the issuer have to return a dividend?,"It is, however, not necessary that the issued equity must return a dividend for it is based on profits and the terms of business."
what is exchange difference?,International Accounting Standard 21 (IAS 21) defines exchange difference as “the difference resulting from translating a given number of units of one currency into another currency at different exchange rates”.
What is the purpose of external reporting?,External reporting requires an entity to provide well documented reports that can be circulated amongst the public and stockholders.
What is the reason for this?,"In the income statement of the company, some events arise as extraordinary and non-recurring that are necessary to report."
What is the definition of fair value?,"The international standards on accounting define the fair value as “the amount for which an asset could be exchanged, or a liability settled, between knowledgeable, willing parties in an arm’s length transaction”."
What is the definition of FIFO?,"FIFO, an acronym for First In, First Out, is a concept in ways of organizing and manipulation of data proportionate to time and prioritization."
what is the definition of finance costs?,International Accounting Standard 23 defines finance costs as “interest and other costs that an entity incurs in connection with the borrowing of funds”.
What is the difference between financial and managerial accounting?,Financial accounting refers to reporting of the financial position and performance of a firm by the way of financial statements issued to external users on intervallic basis.
What is the acronym for the FASB?,"The FASB Standards, commonly known as GAAP (Generally Accepted Accounting Principles), manage the preparation of corporate financial reports and are identified as authoritative by the Securities and Exchange Commission."
What is a financial instrument?,"A financial instrument is a tradable asset of any kind which can be either cash, evidence ownership in an entity or a prescribed right to receive or deliver money or other financial instrument."
What is a financial lease?,"To give proper definition, it can be expressed as an agreement wherein the lessor receives lease payments for the covering of ownership costs."
What is a financial report?,"Usually, it includes summary of accounting data for that year, including background notes, forms, and other related info."
What is a financial statement?,"A financial statement can be well defined as a formal record of any business’, individual, or entity’s financial activities."
should be easily understandable?,"Transparency in financial statement means the statement should be users friendly and clear, everything should properly be disclosed and that should be easily understandable."
is the inventory ready to be sold?,"Finished goods: In this part of the manufacturing process, all the work on the inventory is completed, and it is turned into the finished good and is ready to be sold."
what is fixed asset?,Fixed asset is a long-term tangible piece of property that a firm owns and uses in the production of its income and is not expected to be consumed or converted into cash within 12 months.
what is a fixed asset?,A fixed asset can be defined as a long-term tangible property piece owned by a firm and used for the purpose of income-generation.
what is fixed capital?,Fixed capital is clearly referred to as the physical capital or a real capital which is not consumed or invested in the production of any real product.
What is the definition of foreign currency translation?,"As per the US GAAP regulations, the items on balance sheet are converted at the exchange rate existing on the balance sheet date."
What is the meaning of forensic accounting?,"The meaning of forensic is “suitable for use in a court of law”, and the forensic accountants usually have to work to that potential and standard outcome."
what is forward contract?,Forward contract can be defined as a cash market transaction which involves the delivery of the commodity being deferred until after the contract has been created.
what is forward rate?,Forward rate is defined as the rate which is applicable to any situation of financial transaction.
Why is making the financial statement un-transparent?,Another reason behind making the financial statement un-transparent is to give the fruitful view of the firm to the investors with the aim of attracting them.
What is the difference between operating cash flow and capital expenditures?,It may also be known as operating cash flow minus capital expenditures.
what is a general accepted accounting principle?,"Generally Accepted Accounting Principles (GAAP) refers to a widely accepted set of rules, standards, conventions, and procedures for reporting financial info."
What is the meaning of going concern?,"If a company is not a “going concern”, it indicates that the company has gone bankrupt."
What is goodwill?,"Generally, goodwill represents the value of intangible assets like good customer relations, strong brand name, good employee relations, and any kind of patents or proprietary technology."
what is a government accounting standards board?,Government Accounting Standards Board (GASB) is an organization that aims at improving and creating accounting and reporting related standards or GAAP.
What is the definition of historical cost?,The Framework of International Accounting Standards Board (IASB) defines historical cost as “A measurement basis according to which assets are recorded at the amount of cash or cash equivalents paid or the fair value of the consideration given to acquire them at the time of their acquisition.
What are the IFRS financial statement forms?,"The IFRS financial statement forms include the following: a Statement of Financial Position, a Statement of Comprehensive Income ."
Is it possible to write off impairment of assets?,"It is, however, possible to write off impairment of assets."
what is a profit and loss statement?,Income statement measures a company's financial performance over a specific accounting period.
What is the definition of incremental cost?,This is also referred as ‘marginal cost’.
What is the role of the independence standards board in the financial reporting procedure for public entities?,"The numerous securities related laws that were enacted by the Congress and managed by the SEC state that the credibility and integrity of the finance related reporting procedure for public entities depends, largely, on the auditors that operate independently from their auditing customers."
What is an intangible asset?,"An intangible asset is an identifiable non-monetary asset without physical substance (IFRS, IAS 38)."
what is intercompany elimination?,Intercompany elimination refers to the process for removal of transactions between companies included in a group in the preparation of consolidated accounts.
what is the purpose of the interim financial statement?,The interim financial statement is applied in order to convey the performance of a financial company before the beginning of a fiscal year and at the end of a fiscal year.
What is the role of the IASB?,"Moreover, IASB is also responsible for maintaining the IFRS (International Financial Reporting Standards)."
What are the IFRS?,IFRS represent a set of internationally accepted accounting principles used by companies to prepare financial statements.
When was the IAS 2 inventories revised?,"These standards were applied annually from January 1, 2005."
What is the definition of inventory accounting?,Inventory Accounting refers to the part of accounting dealing with assessing and accounting for changes in inventoried assets.
what is a line of credit?,Inventory financing refers to a line of credit or short-term loan made to a company for purchasing products for sale.
What is the difference between the face value of the shares that are issued to the shareholders and the?,It is the face value of the shares that have been issued to the shareholders.
what is just-in-time inventory strategy?,"Just-in-time inventory strategy can be referred as a production strategy which is employed to increase the level of efficiency and reduce waste by receiving goods only in the form they are required in the production process, thus reducing the inventory costs."
what is a lease?,"To give the legal definition of a lease, it can be rightly stated that it is a written agreement wherein the owner of a property allows a tenant to use his property for a specific time period with a certain amount of rent."
What is the LIBOR?,"Short for London Inter-Bank Offer Rate, LIBOR is defined as the interest rate charged by one bank from another for loans (generally in Eurodollars)."
what is the last in first out method?,"An acronym for Last in, First out, the LIFO method presumes that the assets acquired or produced last are sold, used, or disposed of first."
what is a liquidation value?,Liquidation value can be defined as the estimated amount of money that could be received quickly through the sale of an asset or a company.
what is long-term liabilities?,"Long-term liabilities refer to the category of debts presented on the balance sheet of a company which are required to be repaid during the upcoming twelve months, but that instead are required to be paid back within a year or more."
What is Mark to Market?,"Mark to Market is used for measuring the fair values of those accounts, which could alter over time, like liabilities and assets."
What is the definition of market value?,The apt definition for market value is the current quoted price at which a share of common stock or a bond is bought or sold by the investors at a specific time.
What is a current asset?,"If these very goods aren’t sold in an accounting cycle, then the prices of these goods are registered in the form of a current asset and they continue to feature in the balance sheet till the time they are all sold off."
what is a minimum lease payment?,"Minimum lease payments are “the payments over the lease term that the lessee is or can be required to make, excluding contingent rent, costs for services and taxes to be paid by and reimbursed to the lessor, together with."
What is non-controlling interest in business?,"Also referred as Non-controlling interest in business, minority interest is an accounting concept that deals with the part of a subsidiary corporation’s stock which is not owned by the parent corporation."
"what is the alternative term for ""equity""?","The term ""net assets"" is the alternative term for ""equity"" (i."
what is the net book value of an asset?,The net book value can be defined in simple words as the net value of an asset.
What is the net realizable value?,"Generally, in the field of accounting, the net realizable value is a technique used to calculate the worth of an asset while in inventory."
what is the net sales number of a company?,"Net sales refer to the amount of sales engendered by a business after deducting the returns, taxes like VAT, allowances for damaged or missing goods, and any discounts allowed."
what is net worth?,Net worth is the difference between a company's total assets and its liabilities.
what is the definition of nominal value?,"Nominal value refers to the stated value of an issued security that remains permanent as compared to its market value, which is fluctuating by nature because of factors like inflation."
What is the definition of non-controlling interest?,"International Accounting Standard 27 (IAS 27) defines non-controlling interest as “the equity in a subsidiary not attributable, directly or indirectly, to a parent”."
what is non-current assets?,Non-current assets are assets that include amounts expected to be recovered more than 12 months after the reporting period.
what is a non-current liability?,Non-current liability is a liability not due to be paid within 12 months during the normal course of business.
What is the difference between normal costing and actual overhead rates?,"Since the normal costing makes use of standard overhead rates instead of actual overhead rates, this method is used in determining the product costs where there is no sudden increase in the costs."
what is off balance sheet?,"Off balance sheet refers to the assets, debts or financing activities that are not presented on the balance sheet of an entity."
What are the expenses that are incurred in the day-to-day operations of the business?,These expenses are revenue in nature since these are incurred in the day-to-day operations of the business and do not incur on the non-current assets.
What is the definition of operating income?,Operating income is the income reported in the income statement of the company before taking account of the interest and taxation.
What is an operating lease?,"Operating lease is, basically, a lease contract which allows the use of an asset, but rights similar to asset’s ownership are not conveyed."
What are variable overhead costs?,Variable overheads are the costs that are constant when calculated per unit but become variable when totaled to the volume of the output.
was a seminal contributor to the field of accounting?,"He was a seminal contributor to the field of accounting, although accounting was not labeled as a discipline in his time."
What is the par value of a bond?,The par value can be defined as the face value or stated value of a bond.
What is the percentage-of-completion method of accounting?,Percentage-of-completion method of accounting is based on the revenue recognition principle that provides with a framework on how to recognize revenue and expenses in the accounts of the company.
What is a perpetual inventory system?,This helps the business in updating the inventory by altering the levels when an order is placed or sale is made.
What is the definition of the perpetual inventory system?,The Perpetual Inventory System can be defined as keeping the records of the stocks.
What is the definition of a balance sheet?,Preparing a balance sheet is the inherent part of all accounting procedures.
What is the definition of post-employment benefits?,International Accounting Standard 19 (IAS 19) defines post-employment benefits as “employee benefits (other than termination benefits) which are payable after the completion of employment”.
What is a post-retirement pension?,This is one form of retirement pension that is paid to the employees in their retirement years.
what is a pro forma invoice?,Pro forma invoices are used by various businesses in almost all industries.
What is a process costing method?,"Process costing traces and accumulates direct cost, and allocates indirect cost incurred during a manufacturing process."
What is the definition of cost of production?,Cost of production refers to the total sum of money needed for the production of a particular quantity of output.
what is a profit center?,A profit center is a division within the entity that is treated separate from the corporation.
What is the meaning of the sentence?,This is meant about the profit distribution.
What is the definition of a provision?,International Accounting Standard 37 (IAS 37) defines a provision as “a liability of uncertain timing or amount”.
What is the purpose of the public oversight board?,The public oversight board was created in the year 1977 by the AICPA in the USA.
What is the most common accounting method used in the accounting standards?,"Acquisition accounting, also popularly known as a purchasing method of accounting was used in the accounting standards."
"When entities are preparing accounts for acquisitions and mergers, the subsidiaries are usually purchased at?","In accounting, when entities are preparing accounts for acquisitions and mergers, the subsidiaries are usually purchased at their purchase cost rather than their historical cost."
what is a qq?,Qualifying asset is “an asset that necessarily takes a substantial period of time to get ready for its intended use or sale”.
What is the definition of raw materials?,Raw materials can be explained as substance or material used in the manufacturing or primary production of goods.
What is the difference between a daily profit and a realized profit?,Daily profit which is also known as paper profit in common parlance is the amount which a company or a business gains daily after subtracting the amount invested in business.
what is the meaning of balancing two accounts?,This term is also synonymous with the term Bank Reconciliation Statement which refers to the balancing of two accounts for the sake of checking how much amount of actual money is spent.
how much can a company buy a bond at?,Redemption Value is considered as the value by which the company can again purchase the security much before the time it gets matured.
What is the difference between salvage value and residual value?,"In accountancy, residual value is also called salvage value which is the fully depreciated worth of an asset."
What is the procedure of accounting that is imperative to estimate the value of the merchandise in the store?,"When you are considering the financial aspects of any particular company or store, it is necessary that you take into consideration the procedure of accounting that is imperative to estimate the value of the merchandise in the store."
What is the definition of retained earnings?,The retained earnings are the sum of profits that have been retained by a company since its inception.
what is salvage value?,Salvage value is the projected resale value of an asset at the close of its useful life.
What is the purpose of the SEC?,"The SEC holds the power of licensing and regulating stock exchanges, the companies whose securities traded on them, and the dealers and brokers who carried out the trading."
what is share premium?,Share premium is the amount received by a company over and above the face value of its shares.
What is the difference between total assets and total liabilities of a company?,Shareholders equity is the amount that shows how the company has been financed with the help of common shares and preferred shares.
What is the definition of the statement of cash flows?,The statement of cash flows can be explained as one of the financial reports which are required to be disclosed according to IFRS and US GAAP.
what is the purpose of a statement of changes in equity?,"A statement of changes in equity can be explained as a statement that can changes in equity for corporation features be created for partnerships, sole proprietorships, or corporations."
What is the definition of comprehensive income?,Comprehensive income is the change in equity (net assets) of a business enterprise during a period from transactions and other events and circumstances from non-owner sources.
what is the new name of the balance sheet used in IFRS?,Statement of financial position is the new name of the balance sheet used in IFRS.
What is a shareholder?,A shareholder or stockholder of a company or organization is an individual or another organization (including a corporation) that legally owns partial or full stock in a public or private corporation.
What is the most popular and simple method of depreciation?,Straight-line method of depreciation is the most popular and simple method of depreciation.
What is a subsidiary?,"A subsidiary is an entity, entity that is controlled by another entity."
what is the temporal method?,The temporal method can be defined as a method of translating foreign currency through the use of exchange rates based on the time of acquisition of assets and liabilities.
What is the term that refers to the cost of carrying out a transaction?,A transaction cost is the term that refers to the cost incurred in the process of carrying out a transaction.
what is the difference between a Treasury share and a Treasury share?,"Treasury shares are the shares which are bought back by the issuing company, reducing the number of shares outstanding on the open market."
What is the real cost of issuing a bond?,It can also be referred to the It can also refer to the real cost of issuing of the bond.
What is the difference between the unit of production depreciation and units of activity method?,"In the unit of production depreciation, as the name suggests, the depreciation of the assets is based on the number of units it produces rather than the number of years of useful life left."
What is the definition of an unrealized loss?,An unrealized loss exists when the value of stock decreases after being purchased by an investor but he/she has not yet sold it.
what happens when the borrower is declared bankrupt?,This usually occurs in cases when the borrower is declared bankrupt or he or she fails to meet the terms for the repayment of the loan or debt.
"What is the meaning of the term ""GAAP""?","The term is confined to the US and is, therefore, generally abbreviated as US GAAP."
What are the main points of comparison between US GAAP and IFRS?,The main points of comparison between US GAAP and IFRS include.
is the part of inventory that is currently being worked on and is yet in the production process?,Work in progress (WIP) is the part of inventory that is currently being worked on and is yet in the production process.
What is an accelerated buy back?,"An accelerated buy back, also called an accelerated share repurchase, is a gimmick used by companies who desire a way to generate cash for their shareholders without going through the formalities of a traditional buy-back program and without throwing their balance sheet out of kilter."
What is the term used to describe the subject matter of a sale?,For example if a company is being traded or sold the subject matter of the sale means all that is part of the sale.
What is the definition of an acquirer?,The acquirer will either reject the purchase or accept it by placing money into the sellers account.
what is the definition of the insolvency act?,Bankruptcy Act also called as the Insolvency Act is defined as the decree according to which there is a lawful practice of the bankruptcy laws to curb this menace especially in Canada.
What was the main contribution of Adam Smith during the times of Scottish Enlightenment?,He has been the main figure who played a very positive and productive role during the times of Scottish Enlightenment.
what is adhocracy?,"The term adhocracy is commonly defined as ""a form of organization that operates differently from the normal bureaucratic lines to explore opportunities, resolve the issues, and get better outcomes""."
What is the definition of an arbitrage?,"In finance, arbitrage refers to the practice of taking advantage of a of the difference between the prices of two or more markets – striking an arrangement of matching deals that capitalize upon the difference, the profit being the difference between the market prices."
What is the role of the asset reconstruction authorities in the world?,Different companies have established the asset reconstruction and restructuring authorities and organizations in several countries.
What is the difference between the two types of balance theories?,"Balance theories might be of two types, the credit balance theory and the debit balance theory."
What is a bare trust?,"Bare Trust is defined as the basic trust in which the beneficiary has the complete right to the assets within the trust, along with the income generated from these assets."
What is the definition of barter?,"The barter system is generally bilateral, but might also be multilateral, and by and large exists parallel to monetary systems in most developed countries, although to a very limited extent."
What is the definition of benchmark interest rate?,Various banks in the world have given their own benchmark rates for interest.
what is a beneficiary in trust law?,In trust law known as ‘cestui que use’ a beneficiary can be natural person or an entity of legal stature who is entitled to receive money or other assistances from another person known as his ‘Benefactor’.
what is a bond?,A bond refers to a debt investment wherein an investor lends money to a business company (governmental or corporate) that borrows the funds for a specific time period at a fixed interest rate.
What is bribery?,"Bribery is defined as the gift granted to any individual, community or the organization for which in against the person who granted the gift ask for some favor."
what is the bridge loan?,Basically the bridge loan is the interim financing strategy based loan and it offers the financing of an individual or a business.
What is a budget constraint?,A budget constraint refers to all the combination of goods and services that can be purchased by a consumer with his or her income at their given prices.
what is a budgetary slack?,Budgetary slack is an allowance set for any extra expenditure that the entity is going to incur in the fore coming period.
what is burn rate?,Burn rate is the term which is used in synonym for the cash flow in negative or opposite direction.
what is a business plan?,"A business plan is a decision making tool which can be delineated as a formal statement of a set of business goals, the reasons for they being achievable, and the plans for achieving these goals."
What is the process of assessing and then redesigning the flow of work within the business or?,The process of assessing and then redesigning the flow of work within the business or between businesses is known to be the business process reengineering.
what is the term capital account?,The term capital account is used most frequently in the field of macroeconomics and international finance and monetary matters.
What is the meaning of capital accumulation?,"That is to say, all investments are made for realizing financial profit."
What is the test for annual impairment?,Basically these units and accounts are subjected to the testing of annual impairment if there exists any in the banking systems and the accounts.
What is the difference between a cash payment and delivery?,In the above transaction both elements are then fully satisfied as cash payment and delivery both take place at the same time.
What is the definition of a low jeopardy investment?,Financiers looking for a low jeopardy investment suppose that once it’s held to development numerous CDs would yield the full quantity of the innovative speculation even if the organization delivering the certificate of deposit breakdowns.
What is a typical clause in employment contracts?,This is a typical one and is added frequently in the major employment contracts of firms and companies.
What is the co-financing term?,"Basically on official terms, the co-financing is concerned with designing of certain arrangements according to which more than one parties collaborate and contribute towards funding."
what is collateral?,Collateral refers to assets or properties which are presented to secure a loan or other credit.
what is collateralized mortgage obligation?,Collateralized mortgage obligation is basically a kind of security that has mortgage backing and establishes separated pools of pass-through rates for multiple bondholder classes with a variety of maturities known as tranches.
what is a collection agency?,A collection agency is the business oriented agency which is concerned with collection of money of debt from the lenders ad companies.
what is a commitment letter?,A commitment letter is the formal letter which is issued by the lending authorities in order to inform the loan applicant about the terms and conditions about getting the loan credit.
what is commodity paper?,Commodity paper is defined as the loan or advance of issued by the borrower to the lender on part of which the raw materials owned by the borrower serve as the collateral body for both the people.
What is the role of a commodity product spread in the purchase of a given tangible or?,The involvement of a commodity product spread in the purchase of a given tangible or intangible commodity is result of the purchase or subsequent sale of the products because of the commodity product spread.
what is conversion cost?,Conversion cost is defined as the sum of all the costs which have been incurred in carrying out the conversion of an article into the intended output.
What is the difference between a bond valuing $1500 and 50 common stock shares of?,"A bond valuing $1500, which is convertible into 50 common stock shares of $25 each will sell on aconversion premium of $250 $1500 – (50 x $25)."
What is a corporate finance specialist?,A corporate finance specialist assists a firm in evaluation of operating data and industry indicators in addition to providing advice about management on budget adjustment and decisions regarding general investment.
what is cost benefit analysis?,"Cost benefit analysis (CBA) refers to a systematic process that is used to calculate and compare costs and benefits of projects, decisions and government policies."
Does cost effectiveness analysis assign any monetary value for measuring the effects?,"Unlike cost benefit analysis (CBA), cost effectiveness analysis does not assign any monetary value for measuring the effects."
What is a covenant?,"Covenant generally refers to a promise in an agreement, or any other formal debt indenture, that certain activities will or will not be conducted."
What is the credit cooperative scheme in china?,This is the sanctioned cooperative union which enables the citizens to get credit.
What is the definition of credit crunch?,It may also be defined as the sudden restrictions and tightening of the terms and conditions which are required for obtaining the loans from banks.
what is credit limit?,Credit limit is defined as the maximum amount credit that can be withdrawn as the debt from any financial institution or a bank.
What are the most common forms of credit line expansion or restriction?,"The most common forms of credit line expansion or restriction include the loan demand, protection of overdraft, any other specific purpose, export packing of the credit, and many other attributes."
What is the definition of credit rating agency?,There are different kinds of rating included in this regard.
What is the difference between cumulative preferred stock and common stock?,This is known as cumulative preferred stock.
what is a debenture?,Debenture is an instrument that is only backed up by the credibility of the issuer in the market and not with any physical asset as such.
What causes deflation?,Deflation may also be caused by decrease in spending which includes government or private sector spending.
What is the purpose of a discretionary trust?,Discretionary trust provides a trustee with the power to decide and come to a conclusion with regard to the beneficiary who would receive the funds and the amount of funds that he/she would get.
What is the difference between a divesture and a sale?,The process is carried out either for social or financial goals.
What is Dutch auction?,"The bid that is made first is considered to be the winning bid and transforms into a sale, on the assumption that the bidding price is more than the reserve price."
what is an escrow?,"An escrow is basically a type of arrangement, which is made as per the provisions laid down in a contract between parties that are transacting with each other, wherein an independent 3rd party gets and disburses funds or/and documents on behalf of the parties that are transacting, with disbursement timing by the 3rd party depending on fulfilling of all the conditions listed in the contract by the parties that are transacting with each other."
what is the definition of exploration expenditure?,Exploration expenditure comprises of the expenditure other than the excluded expenditure which is incurred by a taxpayer in exploration for petroleum in the eligible recovery or the exploration area in relation to the petroleum project.
What is the difference between a factor and a cash advance?,"The balance of the purchase price, along with the net of the factor’s discount fee, and other charges is paid upon collection."
What is the definition of money surrogates?,"Moreover, money surrogates through the way of instruments, capital accounts, and markets created for transacting and trading assets, liabilities, and risks."
What is a branch of finance?,"It involves planning, organizing, directing, and controlling the financial activities of a business firm, like procurement and utilization of the funds of the business firm."
what is a franchise?,"By definition, a franchise is a form of business organization in which a firm is already successful because of a good product or service called the franchisor, who gets into a contract based relationship with another business called a franchisee, who operates under the name of the franchisor for a fee."
What is a franchise?,The franchisee then may operate under the franchisor’s name and carry on a separate business but within the perimeters set by the franchisor.
What is the definition of fraud?,It’s actually a tricky or unlawful way to obtain something.
what is free price system?,The term free price system refers to an economic system where prices are decided by exchange of demand and supply and the prices resulting from it is taken as a signal which is communicated between consumers and producers and which helps in guiding production and distribution of the resources.
What is a wage garnishment?,This process of withholding and remittance by the order of a court is known as wage garnishment.
what is the GE/McKinsey matrix?,"The GE/McKinsey matrix is a form of analysis using a portfolio, it outlays the strategic units of the business and the position of SBU (it is a combination of product market which needs a separate business plan) in the industry."
What is the meaning of golden parachute?,Golden parachute is provided mostly to executive employee and benefits are significant and noteworthy.
What is a grace period?,"In other words, Grace period is an extension period that is provided to you from your borrower out of good will."
What is the definition of a grey market?,Grey market is similar to the term black market.
what is the definition of gdp?,"The actual definition for Gross Domestic Product (GDP) can be given as the financial value of all finished goods and services generated within a nation’s borders in a certain time period, though GDP is generally evaluated on a yearly basis."
What is the definition of a country's GDP?,"As explained by Investopedia, Gross National Product (GNP) refers to a quantification of economic performance of a country."
What is a hedge?,"A hedge is, generally, an investment position projected to make up for potential losses which might be incurred by a cohort investment."
what is the rate through which the banks in hong kong deal with each other in the?,HIBOR is actually the rate through which the banks in Hong Kong deal with each other in the inter bank market.
what is high leveraged transaction?,A bank loan given to a company which is already in huge debt is high leveraged transaction.
how much voting stock does a holding company need to own to obtain tax consolidation benefits?,"As explained by Investopedia, it is essential for a holding company to own a minimum of 80% of voting stock to obtain tax consolidation benefits, like tax-free dividends."
What does horizontal integration mean?,This can be said that horizontal integration refers to control and ownership.
What is the definition of a hostile takeover?,A hostile takeover takes place when the company is taken over without the choice of management especially the directors.
What is the importance of human resource management for every company?,"Human Resource Management is important for every company, as it helps in organizing the recruitment process within a company."
What is the definition of human resources?,Human resources are the collection of individuals who work in an organization and form its workforce.
what is hyperinflation?,Hyperinflation in the economy results in the decrease in the value of money as the demand supply formula loses its original shape.
What are the benefits of incorporation?,"There are many benefits of incorporation both for the owners and business, such as."
what is the term in the international contracts?,Incoterms is the term (short for International commerce terms) that is used in the international contracts and published by the International Chamber Of Commerce.
What is inflation?,Inflation is the rise in the price of products for general consumers which in turn affect the cost of living of a normal consumer.
What is the definition of IPO?,"However, IPOs can also be offered by large private companies that wish to trade publicly."
what is inside information?,"Inside information is the material information regarding an entity, which only the board of directors, management, or/and employees and not the public is aware of."
is the abbreviation of IMF?,IMF which is the abbreviation of International Monetary Fund is the largest financial and economic organization of the world.
What is a job analysis?,"Job Analysis is a process, which is used to collect information relating to the responsibilities, duties, skill sets, conclusion and work environment of any given job."
What is a joint stock company?,A Joint Stock Company is a combination of a partnership and a corporation.
What is the difference between bribery and kickback?,"Moreover, the kickbacks and the bribery impact the welfare system and have the impact on the overall economy too."
What is the difference between the accepted theories of value and the labor theories of value?,The labor theories of value (LTV) are different from the accepted theories of value and states that the value of a commodity only has relation with the labor required for obtaining or producing that commodity and is not related to any other factors of production.
what is a lessee?,A person lending a property after making an agreement in black in white is a lessee.
what is a lessee?,Lessor can be defined as the owner of the property that has been the subject matter of the leased agreement.
What is a letter of credit?,"If, in any case, the buyer is unable to make payment at the time of purchase, it is required by the bank to cover the full or pending amount of payment."
what is life annuity?,Life annuity is based on a pre-determined amount that the annuitant wishes to pay periodically till the retirement day.
What is a limited liability company?,According to definition a Limited Liability Company (LLC) is a corporate structure in which the shareholders of the company have limited liability to the company’s actions.
What is a limited liability partnership?,"A Limited Liability Partnership (LLP) is basically a new kind of corporate framework, which combines the flexibility involved in a partnership and the benefits of limited liability of an entity at a compliance price that is very low."
What is the definition of a management discussion and analysis?,"Management Discussion and Analysis is basically business related information that has been mandated by the Securities and Exchange Commission, which must also come with 3 years of financial statements that have been audited."
what is a marginal utility?,Marginal utility is the concept according to which the customer can be provided with the sense of satisfaction when any gain is received by the consumer while he or she is getting any goods or service by one more unit.
What is the definition of a market economy?,"In a market economy, decisions related to production, investment and distribution are dependent on the demand and supply and free price system or free price mechanism is used for determining the prices of goods and services."
what is the end of a security’s life?,"In simple words, it can be explained as the end of a security’s life."
what is microcredit?,Microcredit is the scheme which is introduced to benefit the small level borrowers.
What is the definition of microeconomics?,"Thus, in general, microeconomics pays attention to the patterns of demand and supply and determines output and price in different markets."
What is micro finance?,Like the unemployed and those in a low income group.
What is mixed economy?,This economic system exhibits characteristics of both market economy and planned economy.
What is the definition of money laundering?,Money laundering is considered to be the serious crime.
What is the definition of money market?,"The securities of money market incorporates certificates of deposit that are negotiable, U."
what is a monopoly?,Monopoly is a situation wherein a single entity owns either nearly all or all of the market for a particular kind of service or product.
what is a mortgage?,A mortgage refers to a lien or loan on a property which is supposed to be paid off over a specific time period.
what is a negotiable instrument?,Negotiable instrument is the document which provides the guarantee of payment of a specific amount of money.
