question,answer
What is the cost of manufacturing supplies on hand at the end of an accounting period?,The cost of manufacturing supplies on hand at the end of an accounting period will be reported in a balance sheet current asset account such as Inventory of Manufacturing Supplies.
what is a cash short and over account?,The account Cash Short and Over is an income statement account (within a company’s general ledger) in which shortages or overages of cash are recorded.
What is the amount of the company check that will be cashed to get the cash in the?,(This is the amount of the company check that will be cashed to get the cash in the petty cash fund back to the imprest general ledger amount of $100.
What is bookkeeping?,"Bookkeeping includes the recording, storing and retrieving of financial transactions for a business, nonprofit organization, individual, etc."
what is the allowance for doubtful accounts?,The Allowance for Doubtful Accounts is a contra asset account that is used with the balance in Accounts Receivable to report the net realizable value of the receivables.
what is the amount of the company’s receivables that will not be turning?,The balance in the account Allowance for Doubtful Accounts should be the estimated amount of the company’s receivables that will not be turning to cash.
How does the bank record a loan?,The bank will record the loan by increasing a current asset such as Loans to Customers or Loans Receivable and increasing a current liability such as Customer Demand Deposits.
What is the difference between the two amounts?,"Let’s assume that a company obtains a $30,000 bank loan that must be repaid within 9 months."
What is the difference between the two amounts?,"(If there is a difference between the two amounts, it may pertain to bank fees or prepaid interest that will also have to be recorded."
What is the normal balance for owner’s equity?,"Since the normal balance for owner’s equity is a credit balance, revenues must be recorded as a credit."
What does the company do when it allows the customer to pay in 30 days?,"If the company earns an additional $500 of revenue but allows the customer to pay in 30 days, the company will increase its asset account Accounts Receivable with a debit of $500."
What is the purpose of the Income Summary account?,(Computerized accounting systems may close the temporary accounts without recording the amounts in an Income Summary account.
What is the common term for a loan to an employee?,It is common for the loan to an employee to specify an interest rate and a schedule of payments.
What is the default method of accounting?,"The entry will debit Loan to Employee for $5,000 and will credit Cash for $5,000."
what is a bill payable?,A bill payable is a document which shows the amount owed for goods or services received on credit (meaning not paid at the time that the goods or services were received).
what is a bill payable?,"Examples of a bill payable include a monthly telephone bill, the monthly bill for the electricity used, a bill for repairs that were completed, the bill for merchandise purchased by a retailer on credit, etc."
What is the credit balance in Accounts Payable?,"Under the accrual method of accounting or bookkeeping, a bill payable or unpaid vendor invoice is recorded in Accounts Payable with a credit entry."
What is the adjusted trial balance?,The adjusted trial balance is an internal document that lists the general ledger account titles and their balances after any adjustments have been made.
What is the meaning of an unadjusted trial balance?,"In a manual accounting system, an unadjusted trial balance might be prepared by a bookkeeper to be certain that the general ledger has debit amounts equal to the credit amounts."
is the balance in the account Prepaid Insurance overstated?,"In a double-entry accounting system, if the balance in the account Prepaid Insurance is overstated (too much is being reported) it is likely that the account Insurance Expense is understated (too little is being reported)."
what is the difference between a credit card payment and a debit?,The company’s payment to the credit card company will result in a credit to the company’s Cash account.
What is the purpose of the study?,"Assuming that the credit card purchases had not been previously entered into the accounts, there will be many debits in order to record each of the many credit card purchases/transactions into the company’s appropriate general ledger account(s)."
What is a ledger?,Today the ledger and its accounts are likely to be an electronic record or file.
what is a general ledger?,"An example of a ledger is a company’s general ledger, which contains all of its asset, liability, owner equity, revenue, expense, gain, and loss accounts."
what is the amount of accrued income that a corporation has a right to receive?,The amount of accrued income that a corporation has a right to receive as of the date of the balance sheet will be reported in the current asset section of the balance sheet.
what is a purchase discount?,A purchase discount is a deduction that a company may receive if the supplier offers it and the company pays the supplier’s invoice within a specified period of time.
How much discount can a company subtract from a supplier’s invoice?,"The company will be allowed to subtract a purchase discount of $100 (2% of $5,000) and remit $4,900 if the invoice is paid in 10 days."
What are the terms of sales discounts?,Sales discounts are also known as cash discounts and early payment discounts.
What is the alternative for the buyer to pay $900 within 30 days?,The alternative is for the buyer to pay $900 within 30 days.
What is a T-account?,The account title is written above the horizontal part of the “T”.
What is the difference between the current balance and the needed ending balance?,The next step is to determine the amount that should be the correct ending balance for the balance sheet account.
What is the difference between recording a debit and recording a credit?,"For instance, recording a debit entry into the Equipment account instead of recording the debit in the Equipment Repairs Account will not be uncovered by the trial balance."
When reversing entries are recorded to reverse the accrual adjusting entries for expenses and?,"During the first few days of the accounting period in which reversing entries are recorded to reverse the accrual adjusting entries for expenses and liabilities of the previous period, the current liability accounts will show debit balances."
What is the reason why a company receives cash of $500?,Assume that a company receives cash of $500 but cannot readily determine the reason why it received the $500.
what is the abbreviation for account?,"In accounting, a/c is the abbreviation for account."
What is the a/c interest payable?,An accountant might leave the following note for a subordinate: “Please review the balance in the a/c Interest Payable.
What is the term for the term 'accrued rent'?,Accrued rent is the amount of rent that has not yet been paid by the tenant or received by the landlord for a past period of time.
How much rent is due for a month?,The landlord is assured that all rent due will be paid by February 1.
what is a fully depreciated car?,"A fully depreciated car is one where the car’s historical cost has already been allocated to expense (except for the estimated salvage value, if any)."
What is the accounting entry for a fully depreciated car?,The company cannot depreciate more than the car’s cost.
what is a post-dated check?,A post-dated check (or post-dated cheque) is a check written with a future date.
How can the supplier turn the checks into cash?,The reason is that the checks cannot be turned into cash prior to the dates shown on the checks.
When is the last day of an accounting period?,"Adjusting entries are usually made on the last day of an accounting period (year, quarter, month) so that a company’s financial statements comply with the accrual method of accounting."
What is correcting entry?,Correcting entries are journal entries made to correct an error in a previously recorded transaction.
What is a memorandum entry?,A memorandum entry is a short message entered into the general journal and also entered into a general ledger account.
How many shares of common stock will be split?,"The stock split will result in the number of issued and outstanding shares of common shares increasing from 200,000 shares to 400,000 shares."
What is understated in accounting?,"In accounting, understated means that a reported amount is less than the actual, true amount based on the accounting rules."
How much is understated in a double-entry accounting system?,"In this situation, an accountant will say that the reported amount of accounts payable is understated by $20,000."
what is working capital?,Working capital is defined as the amount of a company’s current assets minus the amount of its current liabilities usually as of the final moment of an accounting period.
What is the definition of land used in a business?,"The land used in a business will be reported on the company’s balance sheet under the asset heading of property, plant and equipment."
What is the value of the warehouse building?,Assume that a company purchases a warehouse for its business operations.
what is outstanding check?,"Outstanding checks are checks written by the company, recorded in the company accounts, but not yet appearing on the bank account as paid."
What happens when a company voids one of its outstanding checks?,The check that was voided is also removed from the list of outstanding checks.
what is a contra-liability account?,A contra-liability account is a liability account in which the balance is expected to be a debit balance.
What is the difference between a down payment and a liability?,A down payment on a signed contract means a company has received money in advance of doing the work specified in the contract.
What is the amount of money that TOPCO must pay when the machine is delivered?,"The contract requires the customer to pay TOPCO $5,000 when the contract is signed and the remainder of $20,000 to be paid when TOPCO delivers the machine within 30 days of the signing."
What is the insurance policy deductible for the loss of inventory?,The insurance policy states the insured company will be paid the cost of the inventory lost minus the amount of the insurance policy deductible.
What is the deductible for the inventory lost in a fire?,"Assume that a company received $105,000 from its insurance company as a settlement for the inventory lost in a fire."
What is a recurring journal entry?,Some recurring journal entries will involve the same accounts and amounts each month.
What are examples of recurring journal entries with amounts that differ each month?,"Other examples of recurring entries with amounts that differ each period include sales, interest earned, interest expense, bank service charges, and others."
what causes the normal credit balance of stockholders’ equity to decrease?,The reason they are debited is they cause the normal credit balance of stockholders’ (owner’s) equity to decrease.
What is double-entry bookkeeping?,Double-entry bookkeeping refers to the 500-year-old system in which each financial transaction of a company is recorded with an entry into at least two of its general ledger accounts.
"What happens if a company borrows $10,000 from its bank?","If the company repays $3,000 of the amount borrowed, the company will decrease the amount in its Cash account with a credit entry of $3,000 and will reduce the balance in its Loan Payable account with a debit entry of $3,000."
What is the abbreviation for the Italian term debit?,"In accounting and bookkeeping, debit or dr."
What is the general ledger accounts for assets and expenses?,"Typically, the general ledger accounts for assets and expenses will have debit (dr."
What is the adjusting entry for Wages payable?,(The adjusting entry typically debits Wages Expense and credits Wages Payable.
How much is the company's wages payable?,During the work week of Sunday December 22 through Saturday December 28 Jane earned $400 of wages that the company will pay to her on January 2.
what is the balance of the company’s current liabilities?,The company’s current liabilities on its December 31 balance sheet must include the $560 of wages payable that Jane had earned and the company owes as of December 31.
what is an invoice?,"An invoice is a dated bill prepared by the seller of goods sold (or services provided) which includes brief descriptions of the items, quantities of items and their unit prices, extensions (quantities X prices), the total amount, and the payment terms."
what is the seller’s sales invoice?,The purchaser of the goods or services will refer to the seller’s sales invoice that it receives as a vendor invoice or purchase invoice.
what is a special journal?,A special journal (also known as a specialized journal) is useful in a manual accounting or bookkeeping system to reduce the tedious task of recording both the debit and credit general ledger account names and amounts in a general journal.
What are the benefits of using a special journal instead of the general journal for the repetitive transactions?,The benefits of using a special journal instead of the general journal for the repetitive transactions have been eliminated with today’s inexpensive yet powerful accounting software.
What were the most popular special journals in manual accounting systems?,"In addition to the sales journal (used for recording sales on credit), there are other special journals which were popular in manual accounting systems."
what does reclassify an amount mean?,To reclassify an amount likely means to move an amount from one general ledger account to another general ledger account.
What is the best way to move the amount from Advertising Expense to Marketing Supplies?,"If the accountant uses a journal entry to move the amount, the entry’s description might be: To reclassify $900 from Advertising Expense to Marketing Supplies."
what is an adjunct account?,An adjunct account might be referred to as a valuation account.
What is the monetary value of the bonds?,"At the time the bonds are issued, they have a carrying amount or book value of $2,100,000."
How much is the carrying amount of equipment?,"Assume that a company’s Equipment has a debit balance of $450,000."
what is a petty cash fund?,A petty cash fund is a small amount of money available to pay small amounts without requiring the processing of a business check.
what is a petty cash fund?,"If a company wants to start a petty cash fund, a new general ledger account entitled Petty Cash must be opened."
What is the general ledger account inventory dormant?,Throughout the year the general ledger account Inventory is dormant and contains only the cost of the prior year’s ending inventory.
what is the total amount on a post-closing trial balance?,The total amounts on a post-closing trial balance show that the accounts having debit balances = the accounts having credit balances.
What is the net amount of the assets reported on the balance sheet?,"Therefore, the total assets reported on the balance sheet will report the net amount of $70,000."
What is the difference between the post-closing trial balance and the balance sheet totals?,"This will cause a difference of $130,000 between the balance sheet totals and the post-closing trial balance totals."
What is the difference between contra asset accounts and general ledger accounts?,These accounts are known as contra asset accounts since their credit balances are contrary to the usual debit balances found in most asset accounts.
What happens when an amount is recorded incorrectly as a result of switching the positions of two?,A transposition error occurs when an amount is recorded incorrectly as the result of switching the positions of two (or more) digits.
What is the difference between the correct and incorrect amounts?,"For example, if 986 was the correct amount, but it was recorded incorrectly as 968, the difference between the two amounts is 18."
How do you find a difference between two amounts?,"If you are faced with finding a difference between two amounts, you might save some time by first dividing the difference by 9."
What is the difference between a discount on a purchase of office furniture and a reduction?,"In other words, the discount is a reduction of the asset’s cost."
How much will the furniture and fixtures account increase if the company pays the invoice within 10 days?,"If the company pays the invoice within 10 days, the Furniture and Fixtures account will increase by $9,900 ($10,000 minus the discount of $100)."
What are the common invoice payment terms?,Invoice payment terms appear as part of the information shown on the invoice (or bill) prepared by a seller of goods or a provider of services.
How does GoodCorp record the credit memo?,"After informing SalesMax, SalesMax issued a credit memo for $60 (5 units X $12) and asks GoodCorp to destroy or donate the 5 units."
What is the difference between a note payable and interest payable?,"Since a note payable will require the issuer/borrower to pay interest, the issuing company will have interest expense."
What is the purpose of the loan agreement?,"The company will record this loan in its general ledger account, Notes Payable."
what is the account accounts payable?,The account Accounts Payable is normally a current liability used to record purchases on credit from a company’s suppliers.
What is the difference between the cost of the equipment and the accumulated depreciation?,"From the time the equipment was put into service until the beginning of the year the related Accumulated Depreciation account shows a credit balance of $45,000."
"When a company borrows money from a bank or other lender, what is a?",Notes payable are required when a company borrows money from a bank or other lender.
What is the difference between income tax and current liability?,"Generally, a profitable regular corporation’s financial statements will report both income tax expense and a current liability such as income taxes payable."
What is a cash discount?,A cash discount is a deduction allowed by some sellers of goods or by some providers of services to motivate customers to pay within an earlier specified time.
What is the purpose of the discount?,"This discount is offered to avoid the expenses of billing, mailing statements for unpaid amounts, processing partial payments, not collecting amounts owed, etc."
what is a trade receivable?,Accounts receivable are usually current assets that result from selling goods or providing services to customers on credit.
What is the definition of a company’s accounts receivables?,"However, the term receivables could include both trade receivables and nontrade receivables."
What is the difference between a credit and debit balance?,Its credit balance will offset the debit balance in the Purchases account.
how many days did a company purchase merchandise using the periodic inventory system?,"Let’s assume that a company using the periodic inventory system, purchased merchandise having a cost of $1,000 with terms of net 30 days."
What is the objective of responsibility accounting?,The objective of responsibility accounting is to assist in the planning and control of a company’s responsibility centers.
what is the most recent month?,Typically each decentralized department and division within a company will receive a monthly report showing its budgeted and actual amounts for the most recent month as well as the year-to-date budgeted and actual amounts.
What is the process of preparing a balance sheet?,"Before a balance sheet is prepared, the accountant must review the deferrals/prepaids and move the appropriate amounts to expense."
What is the difference between a current asset and a deferred expense?,The amount that has not been expensed as of the balance sheet date will be reported as a current asset.
What is a contra owner’s draw?,Owner’s draws are withdrawals of a sole proprietorship’s cash or other assets made by the owner for the owner’s personal use.
What is the owner’s entry to record each month’s draws?,"Smith, the owner of a sole proprietorship, withdraws $2,000 each month for the owner’s household expenses."
what is reclassification?,"In accounting, the term reclassification is often used to describe moving an amount from one general ledger account to another."
What was the purpose of the reclassification?,"The description on the controller’s journal entry was, “To reclassify the XYZ Co."
What is the cost of goods sold?,The goods that are sold during the accounting period must be reported on the retailer’s income statement as the cost of goods sold.
How much inventory is credited to Inventory at the end of the year?,The balance sheet will report inventory of $900 ($800 plus the debit of $100).
What is the best way to record a prepaid expense?,One method for recording a prepaid expense is to record the entire payment in an asset account.
What is a purchase allowance?,"In the case of a purchase allowance, the buyer does not return the merchandise to the supplier."
What happens when a supplier requests that the retailer donate or discard the item?,"When the retailer notified the supplier, the supplier requested that the retailer donate or discard the item and the supplier will issue a credit memo for $15."
what is a contra expense account?,A contra expense account is a general ledger expense account that will intentionally have a credit balance (instead of the debit balance that is typical for an expense account).
What is the benefit of using a contra expense account?,"The company’s income statement will report the combination of the amounts in accounts 4210 and 4211 in order to show the company’s actual expense of $8,000 ($10,000 minus $2,000)."
what is the petty cash amount?,The petty cash amount may appear as the first or second item listed in the current asset section of the balance sheet.
What is a valuation account?,"In accounting, a valuation account is usually a balance sheet account that is used in combination with another balance sheet account in order to report the carrying amount or carrying value of an asset or liability."
What is the difference between the credit balance in Allowance for Doubtful Accounts and?,The combination of the credit balance in Allowance for Doubtful Accounts and the debit balance in Accounts Receivable is the net realizable value of the company’s accounts receivable.
"after a period of time, the customer will be refunded the deposit.?","After a period of time, the public utility will refund the customer’s utility deposit."
What is the purpose of the test?,The new business will record the deposit with a $500 debit to the current asset account Utilities Deposits and will credit the asset account Cash for $500.
What is capital surplus?,"In the past, capital surplus was used to describe what is now referred to as paid-in capital in excess of par or Premium on Common Stock."
what is a permanent account?,"In accounting, a permanent account refers to a general ledger account that is not closed at the end of an accounting year."
what is a balance sheet account?,"Generally, the balance sheet accounts are permanent accounts, except for the owner’s drawing account which is a balance sheet account and a temporary account."
How much depreciation will a company record each month?,"Using the straight-line depreciation method, the monthly depreciation will be $5,000 per month ($600,000/120 months)."
When is hourly pay paid?,"Generally, the employees earning hourly wages will be paid in the week that follows the hours worked."
What is the average hourly rate of pay for a warehouse employee?,"If the employee had worked only 30 hours during the work week, the paycheck will show gross wages of $450 (30 x $15)."
What is the difference between the two pay dates?,"That is, one pay date will be the 15th day of the month for working from the 1st to the 15th, and the other pay date will be the last day of the month for working from the 16th to the last day of the month."
How much does a manager earn?,"To illustrate, let’s assume that the manager of a company might earn a salary of $120,000 per year."
What does the law protect employees from having to work more than 40 hours per week?,and state law protects employees from having to work more than 40 hours per week when their wages or salary is below a certain level.
What should the seller do on December 30?,"On December 30, the seller should record a sale, an account receivable, and a reduction in its inventory."
When did the seller sell the goods?,Now assume that a seller quoted $975 FOB destination and the seller loaded the goods onto a common carrier on December 30.
What is the purpose of the three-way match?,"In the accounting and bookkeeping area of accounts payable, the three-way match refers to a procedure used when processing an invoice received from a vendor or supplier."
What is the most common accounting textbook to use for bad debts?,accounting textbooks are more likely to use Bad Debts Expense or Uncollectible Accounts Expense to describe the amount reported on the income statement.
what is a credit memo?,One type of credit memo is issued by a seller in order to reduce the amount that a customer owes from a previously issued sales invoice.
What does the credit memo mean?,"In other words, the credit memo reduced SellerCorp’s net sales and its accounts receivable."
What is the most common way to determine where the retained earnings are presently used?,"While the amount of a corporation’s retained earnings is reported in the stockholders’ equity section of the balance sheet, the cash that was generated from those retained earnings is not likely be in the company’s checking account."
"When the corporation has a positive net income, the balance in the Retained Earnings?","When the year’s revenues and gains exceed the expenses and losses, the corporation will have a positive net income which causes the balance in the Retained Earnings account to increase."
what is the normal balance in a profitable corporation’s Retained Earnings account?,"If the balance in the Retained Earnings account has a debit balance, this negative amount of retained earnings may be described as deficit or accumulated deficit."
What is the accounting entry for a company's money in advance of earning it?,"When a company receives money in advance of earning it, the accounting entry is a debit to the asset Cash for the amount received and a credit to the liability account such as Customer Advances or Unearned Revenues."
What is the most common type of insurance?,"A company’s property insurance, liability insurance, business interruption insurance, etc."
What is the purpose of the adjusting entry?,This is done with an adjusting entry at the end of each accounting period (e.
When does the company write an adjusting entry?,This same adjusting entry will be prepared at the end of each of the next 11 months.
What is the purpose of the journal entry for depreciation?,The purpose of the journal entry for depreciation is to achieve the matching principle.
what does sundry mean?,"Sundry can mean various, miscellaneous, or diverse."
what is the meaning of a sundry debtor?,Sundry debtors could be referring to a company’s customers who rarely make purchases on credit and the amounts are not significant.
What is the effect of the elimination of the need for classifying customers and accounts as sundry?,"With the efficiency and low cost of today’s accounting systems, the need for classifying customers and accounts as sundry has been eliminated."
what is net assets?,Net assets is defined as total assets minus total liabilities.
What is the difference between the two categories?,In a corporation the amount of net assets is reported as stockholders’ equity.
What is the difference between the principal and interest?,The cash received from the bank loan is referred to as the principal amount.
"What is the simplest way to assume that a company borrows $10,000 from its bank?","Let’s assume that a company borrows $10,000 from its bank."
What is a source document?,"In the past, source documents were printed on paper."
What is the difference between transportation-in and freight-in costs?,"Transportation-in costs, which are also known as freight-in costs, are part of the cost of goods purchased."
How much is the cost of goods sold?,"When we subtract the $88 cost of inventory, there is $352 as the cost of goods sold."
What is the meaning of the term imprest?,An imprest system of petty cash means that the general ledger account Petty Cash will remain dormant at a constant amount.
How do you calculate the discount?,"If a high volume company purchases $40,000 of goods, its cost will be $28,000 ($40,000 X 70%)."
what is bad debts expense?,Bad debts expense is related to a company’s current asset accounts receivable.
what is a voucher?,"The voucher acts as a cover page to which the following will be attached: vendor’s invoice, company’s purchase order, company’s receiving report, and other information needed to further process the vendor’s invoice for payment."
What is the current year’s inventory?,"Under the periodic method or periodic system, the account Inventory is dormant throughout the accounting year and will report only the cost of the prior year’s ending inventory."
How can a company change its inventory account balance to the ending inventory’s cost?,"When using the periodic method, balance in the inventory account can be changed to the ending inventory’s cost by recording an adjusting entry."
What is the general ledger for accounts receivable?,"For instance, the subsidiary ledger for accounts receivable contains the information for each of the company’s credit sales to customers, each customer’s remittance, return of merchandise, discounts, and so on."
What is the purpose of having the details of the accounts receivable activity in a?,"By having the details of the accounts receivable activity in a subsidiary ledger, employees in a company’s credit department of a company can access the credit sales information without having access to any information in the general ledger."
What is the definition of materiality?,"In accounting, materiality refers to the relative size of an amount."
What is the reason for expensing a wastebasket in the year it is acquired?,"The reason is that no investor, creditor, or other interested party would be misled by immediately expensing the $20 wastebasket."
what is a petty cash voucher?,A petty cash voucher is usually a small form that is used to document a disbursement (payment) from a petty cash fund.
What is a petty cash voucher?,Shown below is an example of a petty cash voucher.
what is a accrued expense payable?,"Accrued Expenses Payable is a liability account that records amounts that are owed, but the vendors’ invoices have not yet been received and/or have not yet been recorded in Accounts Payable as of the end of the accounting period."
What are some of the amounts recorded in Accrued Expenses Payable?,Some of the amounts recorded in Accrued Expenses Payable may be estimated amounts that should supported by reasonable and documented calculations.
What is the difference between the cost of goods sold and the amount of the goods that belong in?,"For example, if the current income statement shows the cost of goods sold as 86% instead of the normal 81%, the current month’s amounts should be investigated before releasing the financial statements."
What is a trade discount?,"A trade discount is a routine reduction from the regular, established price of a product."
How much will a reseller be charged?,"However, a reseller will be given a trade discount of 20% from the catalog price, and will be charged $80."
What is the trade discount?,"For example, when goods with list prices totaling $1,000 are sold to a wholesaler that is entitled to a 27% trade discount, both the seller and the buyer will record the transaction at $730."
what is a voucher?,A voucher is often a prenumbered form used in the accounts payable department to standardize and enhance a company’s internal control over payments to its vendors and service providers.
What is the role of the voucher in accounts payable?,You could think of the voucher used in accounts payable as a cover sheet to which necessary supporting documents and approvals are attached.
is the controller the head of the accounting department?,A company’s controller is considered to be the chief accounting officer and the head of the accounting department.
What is the difference between accrued interest and interest revenue?,"Accrued interest is the amount of loan interest that has already occurred, but has not yet been paid by the borrower and not yet received by the lender."
What is the adjusting entry for the company?,"The company’s adjusting entry will debit Interest Expense for $50, and will credit Accrued Interest Payable for $50."
what is the bank balance?,Typically it is the ending balance on the bank statement for each month.
What is the ending balance on a company’s checking account?,"When a company receives its checking account statement from its bank showing June’s activity, the ending balance on June 30 is the bank balance."
what is the balance per book?,"The term book balance, which is also used in the bank reconciliation is the amount shown in the company’s general ledger for the bank account."
what is the balance on the bank statement that is not yet recorded in the general ledger accounts?,This is the case when there are bank fees or electronic transfers on the bank statement that have not yet been recorded in the company’s general ledger accounts.
What is the definition of unearned income?,"As the amount is earned, the liability account is reduced and the amount earned will be reported on the income statement as revenues."
"When the company receives the $300 in December, it will debit the asset Cash for $300 and?","When the company receives the $300 in December, it will debit the asset Cash for $300 and will credit the liability account Unearned Revenues."
"When the special order begins, the company will debit the liability account for $5,000 and will credit?","When the special order begins and is completed in January, the company will debit the liability account for $5,000 and will credit a revenue account."
What is the best way to reduce the potential problems of a company?,"In order for the company to minimize these potential problems, a company is wise to routinely review an aging of accounts receivable."
What is the aging of accounts receivable?,The aging of accounts receivable gives the company’s management a valuable and easy-to-read report that highlights the customers with past due sales invoices.
what is a gift certificate?,Gift certificates (and gift cards) are often sold by a retailer to a buyer for cash.
what is the value of a gift certificate?,The sale of a gift certificate should be recorded with a debit to Cash and a credit to a liability account such as Gift Certificates Outstanding.
What is the tax treatment of a gift certificate?,"To learn about the income tax treatment of this transaction, you should seek advice from a tax professional or go to www."
What is the balance sheet of Jones Corporation?,"Therefore, Jones Corporation’s December 31 balance sheet’s Cash will include the $10,000 and its current liabilities will report Deferred Revenue of $10,000."
what is carriage inwards?,"Hence, for inventory items carriage inwards will be part of the cost of the goods available, the cost of inventory, and the cost of goods sold."
What is the definition of a carriage inwards cost?,"The carriage inwards costs are considered to be part of the cost of items purchased, since an asset’s cost is defined as all costs that are necessary to get the asset in place and ready for use."
What is the definition of insurance expense?,"Under the accrual basis of accounting, insurance expense is the cost of insurance that has been incurred, has expired, or has been used up during the current accounting period for the nonmanufacturing functions of a business."
What should be reported in the income statement accounts?,"The costs that have expired should be reported in income statement accounts such as Insurance Expense, Fringe Benefits Expense, etc."
What is a customer deposit?,A customer deposit could also refer to the money a bank received from a depositor.
"When will Ace debit Customer Deposits for $50,000?","When the machine is completed in 2024, Ace will debit Customer Deposits for $50,000 and will credit Sales Revenues for $50,000."
What is the difference between a sales tax and a depreciation expense?,The total cost of the van will then be charged to depreciation expense over the van’s useful life.
what is the state sales tax?,"If a company sells $100,000 of merchandise that is subject to a state sales tax of 7%, the company will collect $107,000."
When does the total cost of the asset become an expense?,"The total cost of the asset, including installation costs, will become an expense when the asset depreciated over the asset’s useful life."
what is accrued payroll?,"Accrued payroll includes wages, salaries, commissions, bonuses, and other payroll related expenses that have been earned by a company’s employees, but have not yet been paid or recorded in the company’s general ledger accounts."
How much is accrued payroll?,"Therefore, the total amount of accrued payroll is $6,000."
What is the meaning of a loss?,A loss could have several meanings.
What is an account payable?,"However, some people use the term only if the amount is already recorded in the general ledger account Accounts Payable."
What is the purpose of the invoice?,"After reviewing and approving the invoice, the corporation enters Joe’s invoice into its accounting records with a credit to Accounts Payable and debit to Repairs and Maintenance Expense."
What is the difference between an unadjusted trial balance and an adjusted trial balance?,The differences between an unadjusted trial balance and an adjusted trial balance are the amounts in the adjusting entries.
What is the difference between the revenue accounts and the expense accounts?,The closing entries will transfer all of the year-end balances from the revenue accounts and the expense accounts to a corporation’s retained earnings account or a sole proprietorship’s owner’s equity account.
What is the FICA tax rate for 2024?,"3% on the first $168,600 of net income plus 2."
What is the FICA tax rate for 2025?,"3% on the first $176,100 of net income plus 2."
what is the difference between a bookkeeper and an accountant?,"After the recording of the transactions, an accountant or the business owner will review the bookkeeper’s work and make the required adjusting entries before the company’s financial statements are distributed."
How much interest is due on the note?,"Let’s assume that on December 1 a company borrowed $100,000 at an annual interest rate of 12%."
has not cleared the company’s bank account yet?,"In other words, the company issued the check more than four months earlier and the check has not yet cleared the company’s bank account."
How do you communicate with the payees of your outstanding checks?,The best practice is to communicate with the payees of your outstanding checks before the checks have been outstanding for a second month.
What is the job of a bookkeeper?,Today’s bookkeeper must be comfortable with accounting software such as QuickBooks and electronic worksheets.
what is the salary range for a bookkeeper?,"Some reasons for the wide salary range include the size and location of the company, the bookkeeper’s responsibilities, the bookkeeper’s experience with accounting and other software, the ability to get things done without supervision, etc."
What is the best way to increase your value in accounting?,"As mentioned above, being proficient in accounting software such as QuickBooks will increase your value."
what is a contingent liability?,A contingent liability is a potential liability (and a potential loss or potential expense).
What is the difference between a contingent liability and a liability?,) Another contingent liability is the warranty that automakers provide on new cars.
is there a way to estimate the amount of a liability?,The company is required to estimate the amount since the estimated amount is far better than implying that no liability is owed and that no expense was incurred.
What is the FICA payroll tax?,The FICA payroll tax is withheld from employees and also matched by the employer.
What is the minimum amount of FICA taxes an employer must withhold from the paychecks of?,"If an employer has only one employee earning $30,000 per year, the employer must withhold from the employee’s paychecks a total of $2,295 in FICA taxes."
What is the definition of a fringe benefit expense?,The employer’s matching of the FICA taxes (the matching amounts for the Social Security tax and the regular Medicare tax) is recorded by the employer as a payroll tax expense or fringe benefit expense if the employees do not work in a manufacturing department.
is the expected amount of the salvage value included in the depreciation expense of an asset?,"When calculating the depreciation expense of an asset, the expected amount of the salvage value is not included."
What is the most common assumption that accounts and income tax regulations assume that plant assets will have no?,Accountants and income tax regulations often assume that plant assets will have no salvage value.
What is the definition of a vendor?,Another term for vendor is supplier.
What is the definition of a vendor invoice?,The company may refer to the invoice as the vendor invoice.
what is the payroll accrual?,"The payroll accrual is the amounts a company owes for work done by employees, but the amounts have not yet been recorded in the company’s general ledger accounts."
What is the owe date for the hourly paid employees?,"Therefore, as of June 30 the company owes its hourly-paid employees for the amounts they earned between June 22 and June 30."
What is the definition of purchases?,"In the context of companies that sell merchandise, the term purchases refers to the purchases of goods that are intended to be sold to customers."
How much is the inventory of goods sold?,The goods are going to be sold for $12 each.
How is the company able to remove the amount of the check and the bank fee from its?,"This is achieved by crediting Cash, and debiting Accounts Receivable."
How much would be required to reconcile the balance of the check?,"On the other hand, if ABC had not recorded the returned check in its general ledger accounts as of May 31, ABC’s May 31 bank reconciliation will require an adjustment to the balance per books for $2,025 to agree with the bank’s records."
has the lender received the interest?,"Accrued interest on notes receivable is the amount of interest the lender has earned, but the lender has not yet received it."
When is the first interest payment due?,Interest is to be paid quarterly (with the first interest payment to be made on March 1).
What does the corporation charge for depreciation expenses for 10 years?,"In our example, this means $50,000 ($500,000/10 yrs) of annual depreciation expense for 10 years."
What is a post-closing trial balance?,A post-closing trial balance is a trial balance which is prepared after all of the temporary accounts in the general ledger have been closed.
What is the total for each account?,00 balances) along with each account’s balance appearing in the appropriate debit or credit column.
What is a restrictive endorsement?,A restrictive endorsement or restricted endorsement places a limitation on the use of a check or other negotiable financial instrument.
What is the most common restrictive endorsement of a check?,A similar restrictive endorsement might be Pay to the Order of Sample Bank for deposit to account #xxxx followed by the payee’s signature.
What is the simplest way to determine the cost of a land?,"The retailer must remove the cost of the land from its general ledger asset account Land, record the cash received, and record the gain or loss on the sale of the land."
How much did the retailer sell the land for?,"The retailer now decides to sell the parcel for $500,000."
What is the Social Security payroll tax?,The Social Security tax withheld from employees is then matched by the employer.
What is the Medicare tax for people 65 of age and older?,) The Medicare tax pertains to health care for people 65 of age and older.
